 	nella	pasta	vuole	sale	</S>
s	0.9174667	0.0814163305	0.000561258965	0.00040181382	0.00015389349
t	0.913554813333	0.0855353138333	0.000591985208333	0.000209207309333	0.000108692164667
i	0.672898847778	0.316458618278	0.00766613576944	0.00232057242578	0.000655869089556
p	0.352135592593	0.546574416093	0.0949907029231	0.00352730480859	0.00277200869652
à	0.208707454198	0.629234125364	0.155585162974	0.00325879406953	0.00321445409884
s	0.124446911399	0.696278275121	0.148245886325	0.0119937943565	0.0190351058996
t	0.192005330466	0.56347358504	0.190911592108	0.0175652811188	0.0360441979665
a	0.167156406155	0.37250529168	0.382240137369	0.0410707813729	0.0370273623222
t	0.056971416785	0.17928807596	0.639208592456	0.052538214791	0.0719936697741
è	0.020543969795	0.06156056212	0.572805717485	0.25215202093	0.0929377165914
l	0.008003920665	0.0401141947733	0.509764845828	0.341348976977	0.100768052197
i	0.003795197155	0.0325936352911	0.450646238609	0.328064408992	0.184900527399
à	0.002487593595	0.0114871224304	0.19978547487	0.489669949664	0.2965698658
l	0.001138316665	0.00406626076013	0.0826391976233	0.508673156555	0.403483055267
a	0.00137395731167	0.00164765582338	0.0396527845411	0.393317678852	0.564007918422
</S>	0.00215359740584	0.00116753079169	0.0215922492705	0.308956969426	0.666129659211
