 	è	che	è	entrato	da	qui	</S>
è	0.777541265	0.155978413	0.04427195515	0.021676138335	0.000339213992	0.00015320552635	3.9788578e-05
n	0.568370065	0.349774731	0.0578197357167	0.0227611367783	0.000526928977333	0.000469504732117	0.000277892936
a	0.311485279	0.388181490333	0.203398774239	0.0934808262594	0.00216637342578	0.000718440510706	0.000568800478667
m	0.108626225333	0.271977726778	0.439064011413	0.174934852086	0.00430656894193	0.000581649936902	0.000508927342889
b	0.0385230895777	0.164778631259	0.466437497138	0.325822747362	0.00375115801398	0.000318837968967	0.000367989830963
ì	0.0239878759926	0.119328332753	0.377222105713	0.385256362454	0.0740095617047	0.0163626228797	0.00383310307699
k	0.0184353034202	0.107334299584	0.280180211904	0.343687894151	0.150074907235	0.0612236676266	0.0390636791923
e	0.0266557892294	0.0542517051947	0.179129887301	0.318724024717	0.208468872412	0.150448735876	0.0623209410641
a	0.0366410630765	0.0297692505982	0.0998358604337	0.181066492906	0.280740134137	0.294020841959	0.077926321688
p	0.0201868352922	0.0129946698327	0.0396885308112	0.089367050302	0.300510171379	0.36770149732	0.169551223896
ò	0.0126251820307	0.0065078323109	0.0141630173704	0.041385845714	0.212925173126	0.508941809107	0.203451117965
t	0.0093877087459	0.00280082689697	0.00493893079347	0.0155896929513	0.162146273709	0.603937213036	0.201199319322
t	0.00313440321597	0.000947010747723	0.00169498758896	0.00695299693043	0.151520479236	0.517809057679	0.317941049774
u	0.00916530263699	0.000778194104641	0.000884824900787	0.00259819989014	0.0696934499787	0.45589408256	0.460985949925
</S>	0.0167575163185	0.00108169695232	0.000919215875394	0.00161572754507	0.0364655183394	0.42449900628	0.518661324963
