 	se	la	pasta	voleva	sale	lo	avevo	messo	</S>
s	0.54977984	0.416648554	0.033361312025	0.0001794408745	2.5245864e-05	4.446901835e-06	4.347069415e-07	3.86199495e-07	3.127028577e-07
e	0.237680461733	0.625274834667	0.135785674008	0.0011879503715	6.47320823333e-05	5.11868037833e-06	4.366740805e-07	4.24045115e-07	3.302416059e-07
t	0.0835867619777	0.762097021556	0.150639881336	0.0032565843905	0.000366057304111	5.05333675594e-05	2.4719836935e-06	3.60362465e-07	3.34774408633e-07
i	0.0321887187926	0.719178143852	0.233317200445	0.0139103512302	0.00131868128804	8.28081078531e-05	3.25429295783e-06	4.65384721667e-07	4.06364869544e-07
p	0.0198837980642	0.454108841284	0.430527900148	0.0870054604101	0.00671426682935	0.00165364273462	8.33748743793e-05	9.52216540722e-06	1.32110617698e-05
à	0.0151897731447	0.235820951095	0.595169466716	0.141285996803	0.00971366560978	0.00267031577821	0.00011712501546	1.37908552691e-05	1.89067959233e-05
s	0.0058436620049	0.0957552216983	0.788160802239	0.101580537934	0.00668560653659	0.00182782339274	6.606110582e-05	5.22090228897e-05	2.80537549744e-05
t	0.0109397095016	0.102535531233	0.62923430408	0.180004144978	0.0536622675122	0.0229835123976	0.000283901638607	0.000224605274297	0.000132012764991
a	0.0122657115672	0.100116099944	0.279134353693	0.461100914993	0.113216242504	0.0333966084659	0.000355898627869	0.000253126573766	0.000161043374997
ì	0.0057142310224	0.0357235599813	0.114039556231	0.686502454998	0.138997717501	0.0184570794886	0.00023845720429	0.000194845660255	0.000132074801666
t	0.00323945990013	0.0124392943291	0.0694772834103	0.747031774999	0.138888125834	0.0222414221629	0.00344579751476	0.00222778577342	0.00100901188056
e	0.00338498222604	0.0047273096117	0.0473994126234	0.593727698333	0.304260861945	0.0377413540543	0.00455079743825	0.00288433303781	0.00132323248685
l	0.00423405994201	0.00303233017057	0.0170768971611	0.487542329444	0.408360843982	0.0699085046848	0.00670658741275	0.00210411922594	0.00103432328895
e	0.024016502714	0.00476304572352	0.00676595554037	0.375940318481	0.468699371327	0.109378911562	0.00750943951758	0.00190410962198	0.00102233792965
à	0.032480845238	0.00447276586117	0.00231324520879	0.148834800827	0.650583990442	0.152219047187	0.00606297921919	0.00149406868733	0.00153823437655
l	0.013509910016	0.00154488859139	0.000930936161597	0.0785163649423	0.577765946814	0.203365675729	0.0667789697397	0.0447978484958	0.0127894436922
a	0.00598278107533	0.000607370534797	0.000443591473866	0.0466910726474	0.367287932271	0.409054125243	0.0914449409132	0.0603204128319	0.0181677818974
t	0.00361152653844	0.000288536352099	0.000159482841989	0.0175792977825	0.265189467424	0.579059341748	0.0838334979711	0.032300290944	0.0179785602991
o	0.00303070255948	0.0002857526712	7.53220380297e-05	0.00753083556083	0.194692337141	0.583094060583	0.137437589324	0.0334997803147	0.0403536207664
n	0.00292209865316	0.000286032797733	4.73258338099e-05	0.00291901837028	0.11078313538	0.536855540194	0.223124163108	0.0550989734382	0.0679637235888
ì	0.0491378760177	0.00158267013991	0.00028374728907	0.00130041847343	0.0626674542933	0.362975610065	0.342512971036	0.0842332511461	0.0953060245296
c	0.0643145681209	0.00201175908864	0.00036339294809	0.000715765491143	0.0374028909311	0.283681310022	0.384601007012	0.126881343715	0.10002800151
h	0.0214445597406	0.00067838344488	0.00012314904943	0.000400884543714	0.024629652997	0.234054866674	0.337381845671	0.226162927905	0.15512375717
a	0.00727000040887	0.00037191370496	0.000157737498143	0.0010603647279	0.0111173916857	0.112212167225	0.235479090224	0.315420839302	0.316910499057
v	0.00280139964629	0.00027591143732	0.000171007780714	0.00131280220263	0.00659393291857	0.051405256075	0.139897965075	0.391192743101	0.406348989686
à	0.00397718614876	0.00101072506477	0.000561644474905	0.00175930786088	0.00473549632952	0.0228226311917	0.0871235506917	0.4761135977	0.401895906562
l	0.0041079738856	0.00124401660916	0.000693535119635	0.00186485413429	0.00402912681084	0.0106450428972	0.0650643258972	0.5918647859	0.320486405521
o	0.00166467014788	0.00144057789062	0.00246437440121	0.00532273512543	0.00803146697128	0.00651738216573	0.0547432362991	0.587109148633	0.33270645184
n	0.000870434284627	0.00150831605021	0.00305169185657	0.00646626464148	0.00936109497709	0.00453286908191	0.034124168433	0.536294929544	0.403790243947
t	0.000340542915209	0.000517120661737	0.00101995577192	0.00216389410683	0.00314110114603	0.00172233560064	0.0394017104777	0.524881056515	0.426812284649
a	0.000245858873403	0.000831175012246	0.00111924258754	0.00325252406228	0.00504301521568	0.00302678778021	0.0362302344926	0.448952595505	0.501298584883
</S>	0.000276290386702	0.00138828285612	0.00172584764377	0.00541536513114	0.00850294510784	0.0050676826401	0.0260577852463	0.421674462752	0.529891362442
