 	io	non	ho	niente	da	mangiare	</S>
e	0.778331025	0.209934052	0.01121588365	0.00050364575	9.209661e-06	4.0908763e-06	2.1313428e-06
v	0.586316632667	0.152291985333	0.25794800165	0.00337718875	5.2626536e-05	5.21346496667e-06	8.37516653333e-06
ò	0.232030651889	0.386605885111	0.371584318883	0.00946019775	0.000276741232	2.48041076556e-05	1.73899521778e-05
e	0.11203680163	0.48127924837	0.385098441294	0.0210585845833	0.000450787904	5.08037078852e-05	2.53262820593e-05
n	0.0590067158767	0.27035468279	0.640265580431	0.0298497181944	0.000412873374667	5.98998459617e-05	5.04972073531e-05
è	0.0406397912922	0.148503724263	0.58831102681	0.215838454065	0.00484606213822	0.00143333703199	0.000427547555784
c	0.0644736254307	0.0927180547543	0.45681624227	0.372504834688	0.00925482804607	0.00274455731066	0.00148783455193
h	0.0730006301436	0.0489799179181	0.493383147423	0.360533734896	0.016299398682	0.00386747683689	0.00393570585064
o	0.0403050937145	0.0218601973394	0.343881848474	0.545754551632	0.030355860894	0.010150804279	0.00769167128355
t	0.0195998776382	0.00839670781313	0.137157361158	0.769197250544	0.0410522519647	0.0131526544263	0.0114439330945
ì	0.0114746582794	0.00754932260438	0.0616670328193	0.558938900848	0.247837907322	0.0726967921421	0.0398354410315
p	0.0085633069548	0.00647516563813	0.0217040936164	0.321024784283	0.429679469107	0.125666660714	0.0868865836772
o	0.0116064558466	0.00287801328271	0.00791689311547	0.233196012094	0.451790323036	0.168157146905	0.124455231226
t	0.0126261106322	0.00166277920424	0.00331365798516	0.0878563813647	0.476309034345	0.208089505635	0.210142627075
i	0.0064314632274	0.00117201917808	0.00140772500172	0.0385451748149	0.372161934782	0.295609631878	0.284672149025
n	0.0043673485958	0.000977394664027	0.000583980981907	0.013079921645	0.253353208261	0.382325183959	0.345313023008
a	0.00287952338527	0.00176554199268	0.000263589158636	0.00457077366833	0.15737404042	0.482316727986	0.350829811003
f	0.00241585667842	0.00204050660423	0.000163792977879	0.00160241882944	0.07411655314	0.547066352662	0.372594507001
à	0.00266131257614	0.00276130300808	0.000143144257626	0.00066921165648	0.0393172870467	0.567452040887	0.386995685667
o	0.00322721349205	0.00420787346936	0.000375833802542	0.000461834888827	0.0214997586822	0.556535133629	0.413692345222
</S>	0.00241300149603	0.00394427343468	0.000600249101271	0.000473661129413	0.0177457728411	0.477956326814	0.496866722611
