 	vengono	vestiti	</S>
è	0.98814765	0.0102043702	0.00164800978
r	0.791785383333	0.0611799572	0.14703468878
k	0.621423794444	0.162368159067	0.21620805626
u	0.572611874815	0.311753783022	0.11563431542
t	0.353765583605	0.546926007674	0.09930838514
t	0.231664933202	0.683374515891	0.08496054338
e	0.172197458067	0.764677065297	0.06312547146
n	0.0676521263557	0.808446368432	0.12390150582
d	0.0282735108852	0.648414802811	0.32331169194
i	0.0346842890617	0.58842161427	0.37689408398
m	0.0395863356872	0.495079651423	0.46533401466
è	0.0443789945624	0.329256743808	0.626364284887
n	0.0424072263808	0.533353161269	0.424239629962
a	0.0641024903203	0.51174981609	0.424147718321
</S>	0.10693549016	0.279308751545	0.61375578916
