 	le	melanzane	devono	girarsi	dopo	le	cucini	</S>
e	0.982201755	0.01747222865	0.000247139655	7.2510761e-05	5.66984955e-06	3.77328425e-07	1.81710904e-07	1.82866495e-07
m	0.891085335	0.10643498665	0.00218126517833	0.000285160624333	1.227963375e-05	4.09253725e-07	8.69066363333e-08	5.11604331667e-07
a	0.820868898333	0.17522376555	0.00352717639278	0.000365168266778	1.39735477833e-05	4.00660535e-07	5.17116377778e-08	5.87214914556e-07
r	0.621822099444	0.363419158517	0.0125320147976	0.00208038643093	0.000134639887794	4.19172047167e-06	2.17585062593e-07	7.29795780885e-06
a	0.288763516481	0.683309339506	0.0248564379325	0.00286039631031	0.000192796491265	7.03666832389e-06	5.61204287531e-07	9.92111380295e-06
n	0.14965407716	0.817388669835	0.0290568219775	0.0035592160701	0.000301497299088	1.5343278608e-05	1.65918186251e-06	2.27061044677e-05
g	0.0816924003867	0.644686813278	0.175195305326	0.0908620730234	0.0066920198997	0.000540184330536	0.000104732029688	0.000226453371489
i	0.0337081516289	0.523510004426	0.310282015109	0.122641130341	0.0087300845199	0.000709388729845	0.000139828343896	0.000279374988496
à	0.014533877243	0.501625401475	0.417403371703	0.0622242861137	0.00376616985997	0.000272014334615	5.2544418632e-05	0.000122291497499
n	0.005423306781	0.363291633825	0.546297090568	0.0645933720379	0.01707646042	0.00235381051654	0.000155898926211	0.000808424935833
e	0.00458242126033	0.226876764608	0.623204313523	0.118007734013	0.02298874724	0.00308575997218	0.000202314228737	0.00105192202194
è	0.00489179785344	0.0878702368693	0.697440021174	0.190978934671	0.01681839618	0.00133735845739	0.000100067876246	0.000563118117313
n	0.00226990400115	0.0344638693898	0.725390360391	0.18883329489	0.0420117553933	0.00489580695246	0.000273396382082	0.00186158310577
e	0.00138157565038	0.0137199868966	0.575564773464	0.34063227163	0.0596489861311	0.00632497921749	0.000376083174027	0.00235131425192
s	0.00108483552666	0.00606754849887	0.487999691155	0.441822683877	0.0554329080437	0.00473051040583	0.000429038821342	0.00243276013397
e	0.000545441918753	0.00276582771962	0.388948144052	0.516602554626	0.0828207643479	0.00507863670194	0.000543733570447	0.00269489211132
g	0.000378268451918	0.00288706635987	0.251683245017	0.616572484875	0.112480114783	0.00933253470065	0.00135680780348	0.00530947543711
i	0.012808691663	0.00372815455329	0.202425931006	0.611845078292	0.147908738261	0.0125058885669	0.00207866990116	0.00669885067904
r	0.0169417620757	0.00266687961776	0.0851799686687	0.675128162764	0.182632512754	0.0163112688556	0.00340678026705	0.0177326617597
è	0.00834642454657	0.00398312997259	0.0417414528896	0.651010007588	0.244129657585	0.0234725172852	0.00483618508902	0.0224806025866
t	0.00547834007352	0.0039552361742	0.0278475586299	0.547562169196	0.346065502528	0.0453801100951	0.00514879402967	0.0185622208622
s	0.00182908460767	0.0014190554124	0.0214660439633	0.419684623065	0.398021700843	0.0833622800317	0.0177383553432	0.0564788176207
i	0.00088691831439	0.0004903149398	0.00744995703443	0.268167884355	0.535843920281	0.0977760433439	0.0226565631144	0.0667283868736
d	0.00057992686713	0.000605699477933	0.00284887981814	0.143671638118	0.63590576676	0.128679434448	0.0199309923715	0.0677776399579
ò	0.00205900263138	0.000763995612644	0.00130071295938	0.0760996250393	0.567295795587	0.230206241483	0.0425331274572	0.079741463986
p	0.0025440109468	0.000387267149881	0.000523175703127	0.0323998630131	0.550750615196	0.297511573828	0.0456743244857	0.0702091319953
u	0.00134864161861	0.00014615647896	0.000276324377709	0.0158316373044	0.405853421732	0.395890637943	0.0945907234952	0.0860624289984
e	0.0020300292062	7.94752746533e-05	0.000235932369236	0.00636328520147	0.174919760577	0.511542879314	0.199070231165	0.105758392999
m	0.00181453515207	9.22153365511e-05	0.000161049126412	0.00295799693382	0.0801643961923	0.410578443105	0.218789403722	0.285441949333
a	0.00161505183402	0.00012945932885	0.000156494385471	0.00155365105794	0.0345395218308	0.262301654368	0.362826427907	0.336877726444
r	0.00150868078467	0.000115232015617	0.000178544755157	0.00093680836598	0.0154845943769	0.214342178123	0.461224879302	0.306209095481
è	0.00310401213489	0.000353797074539	0.00119217709505	0.00246811745533	0.0115452161256	0.170235741041	0.497369283101	0.313731681827
i	0.00460373461163	0.000469397924846	0.00188963723168	0.00379313981844	0.0114551400419	0.136924737347	0.640093394367	0.200770860609
</S>	0.00378054190581	0.000316307542423	0.00154987861584	0.00336376240922	0.0102240650209	0.129675936673	0.680042247183	0.171047320305
