 	non	ha	che	li	aspettiamo	</S>
e	0.709969595	0.2616574485	0.02710791964	0.0011841209255	4.0503119e-05	4.04062895e-05
n	0.444254955	0.517190266167	0.0371777975467	0.00127623869183	4.56078196667e-05	5.51646765e-05
è	0.217029559	0.723251105389	0.0573239738489	0.00217584404728	7.72981165556e-05	0.000142259748833
n	0.08179984	0.800116701796	0.112450992616	0.00472846694909	0.000237172562185	0.000666826262944
a	0.0339135520667	0.548166207265	0.393561937539	0.0224349928164	0.000666687957395	0.00125664378765
t	0.0126498453056	0.249319309088	0.702417125846	0.0326680916055	0.000955204452465	0.00199043279588
u	0.0048646055852	0.135706656796	0.620689821949	0.213671791202	0.0177298892175	0.00733722253196
s	0.00218563939507	0.047706018032	0.570888617316	0.325896630401	0.0266918660725	0.0266312355107
m	0.00540560406502	0.018387617944	0.442986906105	0.200956563467	0.0393971340242	0.292866161837
ì	0.0164418830217	0.0111114829147	0.151853689035	0.292227957822	0.111691431341	0.416673527279
n	0.0155673614929	0.00765961559157	0.077370234345	0.493755985941	0.12738597478	0.278260822426
o	0.00651284954997	0.00403519031719	0.0503927930483	0.41497011198	0.237993572593	0.286095480809
m	0.00450062224999	0.00486246343906	0.0209875112828	0.19789325066	0.299357080864	0.47239904027
e	0.25376910125	0.00452473461302	0.0107489777009	0.0803840316533	0.188170323621	0.46240280009
</S>	0.503760450625	0.00334909875651	0.00540343976045	0.0407543429767	0.16228397181	0.284448680045
