 	ancora	non	mi	sono	vestito	</S>
a	0.97734562	0.01993143625	0.0025766865	0.000123700973	1.0256293e-05	1.230176475e-05
n	0.961104506667	0.02354233725	0.0149720285	0.000328095104333	2.34214976667e-05	2.963319425e-05
k	0.879605235556	0.05732951575	0.0619940528333	0.000974357518111	3.28127242222e-05	6.40455414167e-05
ò	0.550007360519	0.212169091917	0.187697650944	0.049099208706	0.000489647918074	0.000537052333806
r	0.393245202173	0.299465550639	0.236708066981	0.0672480937353	0.00198709180602	0.0013460132446
a	0.338507167491	0.382709300213	0.22905509566	0.0444429087451	0.00405281470201	0.00123275633487
e	0.141075849264	0.406772580071	0.29891466522	0.145018686248	0.00645397556734	0.00176428139829
n	0.0756227276213	0.29797348669	0.438582815073	0.175677636749	0.00748583238911	0.00465752343276
e	0.0261016607638	0.23241756223	0.413997845024	0.29947042025	0.0204143619964	0.00759813781092
n	0.00915623077793	0.130911942743	0.406602121675	0.405523740083	0.0247049408988	0.0231010102703
d	0.00335099540264	0.0615672842477	0.370334471892	0.322952513361	0.0246931648663	0.217101576757
ì	0.00117314292421	0.0306955767492	0.157559126297	0.38254605112	0.153955828289	0.274070295252
s	0.00051352997807	0.0185975567831	0.092777483099	0.45405943704	0.255516686096	0.178535304751
i	0.00152310151602	0.00788943679437	0.0618335703663	0.339210212347	0.392393962032	0.197149701584
m	0.00186853897201	0.00553986626479	0.0404279314554	0.155422062449	0.491728020677	0.305013600528
o	0.108807239457	0.00775364875493	0.0315504658185	0.0715368981497	0.410997126892	0.369354636843
</S>	0.216552769728	0.00916885437746	0.0240228129092	0.0463023675748	0.386545558446	0.317407638421
