 	volevo	Maria	domani	di	venire	da	me	</S>
ì	0.962574035	0.0369963852	0.0003369168505	7.5966394155e-05	1.597281979e-05	4.00668462e-07	8.3845767e-08	1.863127015e-07
t	0.952050158333	0.0473574640667	0.0003583897705	0.000213817057488	1.35326591233e-05	1.752246262e-06	1.294010777e-06	3.55498657483e-06
e	0.674644821111	0.323995303689	0.0010729011235	0.000263700088496	1.43301770411e-05	2.35529118733e-06	1.73624736233e-06	4.81939913828e-06
l	0.268014274037	0.681776667896	0.0159574480412	0.0324118161988	0.00155349852701	0.000164478791729	3.29933846574e-05	8.87726776594e-05
a	0.124750745012	0.808877089299	0.0204916180037	0.0433905640529	0.00210937590234	0.000220434161743	4.34355863191e-05	0.000116723948943
e	0.0692524172573	0.905949829766	0.00900462199123	0.0148899427043	0.000773216407447	7.63585075143e-05	1.45639205637e-05	3.90682771977e-05
M	0.0237253256724	0.773498436589	0.0528365323304	0.142369886935	0.00652666741582	0.000457051981605	9.58455238786e-05	0.000490271973559
a	0.0134765128908	0.72275630553	0.0679334984435	0.186028637978	0.00845553372194	0.000585198375735	0.00012325655316	0.00064104572812
r	0.0108284741969	0.63105164851	0.0535174238145	0.281410871659	0.0197550484906	0.00188986554044	0.000285825366253	0.00126082531297
ì	0.0970717296323	0.325683319503	0.0693603112715	0.469504973886	0.0332319741635	0.00318539314681	0.000413744655418	0.00154857359432
a	0.290115366544	0.176952915168	0.0761498804238	0.426334524629	0.0272625860545	0.00230457728227	0.000241899631806	0.000638257198107
à	0.272045425515	0.085448361056	0.265186776808	0.349950291543	0.0246278630182	0.00191577156076	0.000248633270602	0.000576848009369
v	0.100557662482	0.0362054441653	0.610371468936	0.218054077514	0.0253953320061	0.00440158472025	0.00226947985687	0.00274498880312
v	0.0335675984144	0.0121167500784	0.671505699645	0.222044056171	0.043539522002	0.00814609924008	0.00430173005229	0.00477860850104
r	0.0151010479148	0.00410510685947	0.396057434215	0.51036753539	0.057110865334	0.00802020431336	0.00343465705076	0.00580321903368
i	0.0358179841383	0.00335126734316	0.153231430405	0.630579711797	0.148528571778	0.0196796680045	0.00258453035025	0.00622689121123
n	0.0388612905239	0.00305634337612	0.169349621468	0.508824103932	0.226178443926	0.0306948893348	0.00561697118342	0.0174183407371
a	0.0283542259858	0.00104788843377	0.170459950623	0.309031525977	0.363899117975	0.0937706697783	0.00840611022781	0.0250305302457
r	0.0248753500233	0.000389616612923	0.061111392341	0.192950239992	0.438756989325	0.149163996593	0.0316047872426	0.101147659082
t	0.00831707342373	0.000141813813146	0.024121903427	0.148371881897	0.314632653108	0.213819005531	0.0694026370809	0.221193059694
i	0.00420424099588	4.85857502207e-05	0.00812182205233	0.0525722470657	0.207207761036	0.436771001844	0.077141279027	0.213933076565
s	0.00284307339796	1.79551935402e-05	0.00309281534744	0.0186097787886	0.137314653679	0.510241447281	0.107126409676	0.220753898855
e	0.00143735326532	7.6273204134e-06	0.00142599600081	0.0069953783962	0.0972853712263	0.479173229094	0.152853979892	0.260821106285
m	0.00101106374177	6.40046907113e-06	0.000744405431937	0.00309035913207	0.0435611934088	0.395945396365	0.192044489964	0.363596718762
è	0.0118104203673	3.5815675857e-05	0.000806109090646	0.00239755501069	0.0244205221363	0.212274843788	0.289313269988	0.458941479587
n	0.0153670605358	0.000101870603619	0.00231408146355	0.00171374037023	0.0165050884454	0.126782272929	0.353931473329	0.483284399862
a	0.00718103909193	0.000149350851206	0.00307395268785	0.00148856935674	0.0156189978818	0.082638835643	0.362913327776	0.526935899954
</S>	0.00666466729596	0.000159352825603	0.00240293249392	0.00199545927837	0.0220198219409	0.0673989348215	0.374369303888	0.524989499977
