 	le	buone	canzoni	si	scrivono	alla	notte	</S>
t	0.94573153	0.05226893	0.00191520645	7.21588685e-05	1.180347635e-05	2.5992183e-07	5.93023625e-08	1.24495835e-07
a	0.75156815	0.24060556	0.00778379525	3.60102528333e-05	6.31333901667e-06	1.44446803333e-07	3.32632521667e-08	8.84657063333e-08
k	0.560834323333	0.4069871	0.02565841975	0.00611836931194	0.000378467432672	1.67801147011e-05	2.01879639872e-06	4.56885059344e-06
à	0.422016374444	0.522683513333	0.04632739125	0.00831509317065	0.000619869754224	2.7828452567e-05	3.58952129957e-06	6.32811244448e-06
j	0.261689768148	0.567235971111	0.15903478375	0.00821756879022	0.00337347359474	0.000148854071856	7.27438442665e-05	0.000226838240228
o	0.151604100649	0.391378307037	0.438642577917	0.0133047895967	0.00446963459825	0.000203154103952	9.56550640888e-05	0.000301809642843
t	0.0536021282163	0.282730932346	0.577127949306	0.0775281455322	0.00852113959942	0.000229899164651	5.98297773629e-05	0.000199993023714
r	0.0343145971388	0.194971296449	0.574274139769	0.174479065177	0.0201612398665	0.000767746838217	0.000232442999121	0.000799451301238
a	0.0259102579463	0.0820114751497	0.695567379923	0.172523311726	0.0219220522888	0.000882330709406	0.00026570399304	0.000917426525746
v	0.0102046300821	0.0326697017166	0.702515093308	0.227405477242	0.0253119690963	0.000962358633135	0.000239707791013	0.000690970300582
ù	0.00647991589403	0.0173914775722	0.684521464436	0.244413469081	0.0451175520321	0.00114447824438	0.000298175910338	0.000633409744861
d	0.00425950872668	0.0114607447241	0.711531921479	0.192570693027	0.074452025344	0.00312701961479	0.000844933350113	0.00175312635962
i	0.00284498817089	0.00799726544137	0.49766684716	0.359016491009	0.124337641781	0.00477155500493	0.00100658786004	0.00235859765321
a	0.00448729822363	0.00870561341379	0.21747979672	0.542501747003	0.217647930594	0.00692124566831	0.000506040150013	0.0017503400844
i	0.00472540507454	0.00514246931793	0.07756306404	0.504508685668	0.384527626865	0.0189844752228	0.000833905403338	0.00371439252813
g	0.00268576904051	0.00209499536931	0.0281317938133	0.458799915223	0.455834455622	0.0351407570743	0.00554108236778	0.0117712480094
r	0.000905068553423	0.000792432636637	0.0112566233378	0.388071011741	0.468225265207	0.0597705596914	0.0193491797893	0.0516298833365
à	0.00182147404206	0.00289598037575	0.0038620802326	0.20065101358	0.634473855069	0.0731733952305	0.0210565450964	0.0620656731122
f	0.00212708817832	0.00361992716192	0.00259961889753	0.110528344193	0.744718298356	0.0738208217435	0.0186166948655	0.0439692063707
u	0.00207298705707	0.00159564375731	0.00209923619251	0.0722495000643	0.557607446119	0.256734073914	0.0263000496218	0.0813410621236
t	0.00206285107136	0.000953279442437	0.000721040274837	0.0333728266881	0.395352815373	0.385621051305	0.0522362665406	0.129679890708
t	0.000696214196887	0.000375075899812	0.000249134530846	0.0187404387727	0.278951742791	0.327351473768	0.16288618218	0.210749773569
e	0.000343863006396	0.000229504745604	9.12419988487e-05	0.00754075206757	0.106488148264	0.378379787923	0.188840677393	0.318086044523
a	0.000547468755465	0.000305292631868	6.46117696162e-05	0.00409797895586	0.0456946067547	0.372951309308	0.148055022464	0.428283701508
t	0.000513077397822	0.000232721123956	4.86275347054e-05	0.00181467533862	0.0170785253516	0.266398749769	0.258106027488	0.455807583836
s	0.000180599822641	8.4263381462e-05	1.73151161885e-05	0.00070638342354	0.0064430784422	0.16398459059	0.442545219163	0.386038544612
è	0.000229688318247	0.000237076707297	4.33060985162e-05	0.00225479619851	0.00424681203907	0.0936051508633	0.425551673054	0.473831491537
n	0.000249990272416	0.000341082772432	5.45493048387e-05	0.00283971052617	0.00379819904636	0.0798220936211	0.323103111018	0.589791263846
ì	0.00440968519047	0.000693981974144	0.00013152961028	0.00164398976872	0.00202515788212	0.0667216695404	0.324897093673	0.599476877949
t	0.00579489077016	0.000822870011381	0.000157903513427	0.00124844226291	0.00190825792737	0.0761850815135	0.304425691224	0.609456825983
t	0.00193529423705	0.000339270367527	5.62395182757e-05	0.00050037083697	0.00142618300179	0.0662939973378	0.433035327075	0.496413288661
a	0.00152095785268	0.00121582603291	0.000223563263225	0.00550738392166	0.00394310889326	0.0494367426126	0.422725549025	0.515426842887
</S>	0.00207325167634	0.00226129361646	0.000418702711613	0.0107551769608	0.00716112694663	0.0599975363063	0.270777854512	0.646555021444
