 	non	ha	mangiato	mai	un	rustico	</S>
e	0.725463645	0.2514134425	0.022855635345	0.000260197388	4.7232178e-06	1.7511982e-06	6.4587877e-07
n	0.424609819667	0.5472239375	0.027733505115	0.000418060286	1.17389472667e-05	2.14301566667e-06	8.08843273333e-07
è	0.173802855222	0.7542139125	0.071134557705	0.000814664905333	3.17375224222e-05	1.55949370222e-06	7.22970541111e-07
c	0.067576870074	0.8225462575	0.107087355902	0.00251615903511	0.000214523206141	4.05764354474e-05	1.82305449804e-05
h	0.0373424676913	0.8393645725	0.111298385301	0.0106145952117	0.000741894868714	0.000585831699816	5.21657143268e-05
i	0.0229276088971	0.5554905495	0.3934308351	0.0260038484039	0.00132715685624	0.000750144123272	6.98122777756e-05
f	0.0091798389657	0.219780415167	0.6529529117	0.109172186135	0.00649440081875	0.00211026113109	0.000310004943925
a	0.0070501213219	0.0991995770557	0.595790257233	0.283273285378	0.0116545682729	0.0026164341037	0.000415816604642
m	0.0059689891073	0.0385156356852	0.422834445744	0.508264985126	0.019804774091	0.00311035206123	0.00150087132488
è	0.0133286193691	0.0203068985617	0.211381312581	0.717853728375	0.031658215697	0.00350308122041	0.00196819083496
n	0.0148275513764	0.0111901834472	0.15130419486	0.768973789458	0.0420805955657	0.00905796184014	0.00256577570499
a	0.00612450594547	0.0060402667424	0.121999333753	0.665612309819	0.178059063855	0.01691949428	0.00524505316833
m	0.00400807808182	0.0104884219141	0.042644429051	0.597020803273	0.301508871285	0.02656132076	0.0177680843894
à	0.0849829985606	0.0207443383047	0.0160309097503	0.421461141091	0.377743963762	0.0504607135867	0.0285759477965
i	0.11162483452	0.0180470858549	0.00560807407343	0.16390456463	0.623689371254	0.0485956135289	0.0285304555988
è	0.0378032394867	0.00629394857163	0.00188223502914	0.0558109253667	0.773860507085	0.0290675045096	0.0952816551996
n	0.0127306235155	0.00218516817254	0.000649886567713	0.0215844213456	0.721502369028	0.0702975158365	0.1710500284
a	0.00716458604507	0.000842059549513	0.000246832902571	0.0102079670152	0.563027346343	0.164847208612	0.253663976133
n	0.00531051487602	0.000381117194838	9.57521206903e-05	0.00360155353173	0.350363058781	0.335341399537	0.304906598711
r	0.00177246036134	0.000131151695413	3.38250170301e-05	0.00133109587391	0.175398359594	0.435400009846	0.385933106237
ù	0.00360883066211	0.000199409700604	5.04904959767e-05	0.000612301394637	0.068848732198	0.420877403282	0.505802868746
s	0.00422123297677	0.000238521355868	6.06702946589e-05	0.000401807988212	0.0471065963993	0.480525977761	0.467445242915
t	0.00141015318452	9.7184623756e-05	2.55828701096e-05	0.000183661355971	0.0346440203664	0.532402669254	0.431236757638
i	0.00341519766437	0.000615336264052	0.000114728985927	0.00021559877189	0.0167111456888	0.404771956418	0.574156042546
k	0.00409203827012	0.000812934678017	0.000150380690309	0.00024295257263	0.00979360689627	0.405282685473	0.579625380849
o	0.148052281805	0.00524571794934	0.00091281900177	0.00084892245621	0.00563467629876	0.361466104824	0.47783942695
</S>	0.294042690903	0.0100467319747	0.00174110030089	0.00154895582811	0.00580272764938	0.192291466912	0.494526263475
