 	lo	posso	finire	di	scrivere	</S>
o	0.504053734	0.49557841415	0.000324859384	2.355851875e-05	8.0106143e-06	1.15062132e-05
s	0.222779220667	0.77433075805	0.00272317809467	0.00012744393125	1.14492091e-05	2.80162310667e-05
ò	0.126089443722	0.870288616017	0.00342819145156	0.000153065285083	1.00939683667e-05	3.06145195222e-05
z	0.344085064741	0.651860048672	0.00369995580385	0.000201757419694	1.92392704556e-05	0.000133965282341
o	0.41493673218	0.567554549557	0.016737382768	0.000551388683231	3.80495701519e-05	0.000181901844114
s	0.153741227993	0.724416429852	0.117815534256	0.00323158712774	0.000115763443384	0.000679441731371
p	0.0900939426643	0.540660039951	0.336463528085	0.0270245313759	0.000774213714461	0.00498375361046
i	0.0548563206214	0.271049478317	0.630941876028	0.0357994621253	0.00126354193815	0.00608931093682
c	0.0207048239405	0.107930737106	0.841579192009	0.0240005503751	0.00108491806605	0.00469973451227
c	0.0085314168635	0.060359211702	0.605073564003	0.165497914792	0.0454507548753	0.115087112637
è	0.0031091362125	0.034310884154	0.539055874668	0.211563443264	0.0610209657584	0.150939671012
t	0.00106676448083	0.0136759939047	0.793773944889	0.095936357088	0.0236664783861	0.0718804594707
s	0.00056739890561	0.00676023240657	0.727135314963	0.137338546696	0.0255510901287	0.102647472157
i	0.00156745367854	0.00235096819386	0.444414759988	0.346750282232	0.0621077950429	0.142808814052
à	0.00308251435951	0.000990379837953	0.181724459996	0.555565547411	0.0887401550143	0.169896984684
t	0.00239847357884	0.000461769659318	0.087128103332	0.514593149137	0.100097498338	0.295320984895
s	0.000839686070613	0.000163812146906	0.0526157418107	0.361362363046	0.200426386113	0.384591984965
e	0.00602107457554	0.000435421782769	0.0196565857702	0.241546329015	0.272306475371	0.460034101655
g	0.00776479141518	0.00054365952659	0.0164167413901	0.130453442672	0.229458225124	0.615363133885
r	0.00264603149506	0.00021236990353	0.0138050535967	0.0624208298907	0.189342755041	0.731572957962
à	0.00473655346502	0.00049877296351	0.0079088099989	0.0283547559636	0.13383207768	0.824669032654
t	0.00545245756501	0.000589228095503	0.0074668575663	0.0161730196545	0.114979565227	0.855338860885
s	0.00198161463167	0.000229131549501	0.00435150818877	0.0093227829515	0.229283048409	0.754831903628
i	0.00957665607722	0.0021258138265	0.00436543149626	0.0133153013838	0.22544794447	0.745168867876
</S>	0.0179487485386	0.00409959641325	0.00641465324813	0.0197721151919	0.129168364735	0.822596533938
