 	è	che	stanno	ancora	svegli	</S>
è	0.92739235	0.05711767	0.015058845815	0.0003932497475	3.360161685e-05	4.2432507e-06
n	0.759258283333	0.20976528	0.0305164309383	0.000355904300833	7.20246435167e-05	3.20770180333e-05
a	0.453725315778	0.389080783333	0.156049474646	0.000935046900278	0.000124520347839	8.48861360111e-05
s	0.193405008093	0.570654794444	0.234301811549	0.00143698256676	0.000122548124613	7.88629480037e-05
t	0.0666836380977	0.780256364815	0.15067387885	0.00216501345559	0.000185457573538	3.56906053346e-05
a	0.0236885317659	0.586433966605	0.385839654617	0.0036736826852	0.000324906957846	3.93221884449e-05
t	0.0081847864633	0.301017900535	0.666879234872	0.0230983123617	0.000670787019282	0.000149012739482
ù	0.0045946263291	0.195207378512	0.698233711624	0.0814898041206	0.0199317138731	0.000542777013161
n	0.00345140192303	0.134427311171	0.726695387208	0.10583508804	0.028427085791	0.00116373950439
e	0.00445366965434	0.114284139057	0.648686635736	0.19342484268	0.0338533997637	0.00529731070146
a	0.0119139488848	0.0493649976857	0.452182111912	0.39444459756	0.0781000565879	0.0139942775672
n	0.0111913198059	0.0230119322952	0.227582849637	0.62306563252	0.0967346288626	0.0184135971891
k	0.0037517429013	0.0083308531484	0.0824255531123	0.618766304173	0.127090746288	0.15963474573
ò	0.00208245508877	0.00281825652613	0.0280410954908	0.548134161391	0.179923572096	0.23900045191
r	0.00159637674292	0.00120252923538	0.0126689347169	0.692209600464	0.170517567365	0.12180501297
a	0.00249677562764	0.000709544991793	0.00737156317897	0.527377121155	0.385020045788	0.0770250133233
a	0.0112212525425	0.000666333143931	0.00277230389966	0.196340025052	0.550764225263	0.238235927774
t	0.0122462213856	0.000593620280977	0.00119725343655	0.148677695351	0.503705738421	0.333579502591
s	0.00408653435983	0.000208130948792	0.00046794596965	0.13580083845	0.407183452807	0.452253110864
ù	0.00220999717978	0.000115650051731	0.000274105370683	0.0584312799167	0.395108224269	0.543860736955
n	0.00159682989193	0.000154149310577	0.000428412126894	0.0386669637389	0.512588061423	0.446565568985
n	0.000548561335843	0.000121818300526	0.000364637736631	0.034405056913	0.478798210474	0.485761712995
i	0.00352211985181	0.000190203517175	0.000224331309877	0.0171619051043	0.309466526825	0.669434890998
t	0.00454498975227	0.000240806894058	0.000199345883292	0.0211842861681	0.225299288942	0.748531250333
i	0.0584381425524	0.00128048398635	0.000642106927764	0.0227415865894	0.182614067314	0.734283583444
</S>	0.114553476276	0.00239789074318	0.00115034561388	0.0132420290947	0.097695820157	0.770960391722
