 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.98843385	0.01055120715	0.000788592538	0.00020633511255	1.1611127945e-05	5.227805427e-06	3.205265211e-06
c	0.95736717	0.0413349324833	0.000962903704667	0.000194160935883	2.36759066117e-05	3.94279486033e-06	0.000113212762644
h	0.941855823333	0.0566952934944	0.00107156960489	0.000194135507961	2.82630532039e-05	3.53637727678e-06	0.000151314735115
a	0.959234254444	0.0395221518315	0.000979265804963	0.000171738818654	2.25585334013e-05	4.24806831559e-06	6.56877369383e-05
n	0.667169878148	0.314453477277	0.0174045787683	0.000822802159551	4.83837258004e-05	6.84804343853e-06	9.39171466461e-05
a	0.278579612716	0.674961549092	0.0448635472561	0.00141084881985	7.37388899335e-05	1.20763744795e-05	9.85477102154e-05
v	0.119187051905	0.767976796364	0.109880839085	0.00255190230662	0.000124515069978	1.94005161598e-05	0.000259444298072
o	0.0458977449683	0.800265702121	0.150055554362	0.00328905606887	0.000153353203326	2.70342833866e-05	0.000311476026024
r	0.0214317186561	0.77899891404	0.187289882787	0.0106688194896	0.000370759374442	6.13495724622e-05	0.00117848805534
à	0.00768121908537	0.544479081347	0.371563184262	0.0693303754965	0.00421031879148	0.000722934759487	0.00201286451845
s	0.00324612076179	0.510485203782	0.393575924754	0.0834630794988	0.00561423396383	0.000939210089829	0.00267622443948
o	0.00938106045393	0.449595794594	0.439729051585	0.0866908374996	0.00864724502128	0.00145300836661	0.00450299567983
t	0.0112754215013	0.171685234865	0.660835030528	0.130353629167	0.0128928676738	0.00196791308887	0.0109899097599
o	0.0239675368504	0.070918038975	0.493928517509	0.338879066389	0.0438689668913	0.00704371242962	0.0213941385866
t	0.0283225231668	0.0242445357783	0.240204879836	0.564101945463	0.0751264222971	0.0126939774765	0.0553056805289
s	0.00963089273427	0.00850611940343	0.145747128779	0.576334265154	0.0983940574324	0.0332924591588	0.128095076843
o	0.00386313237342	0.00284832684314	0.0502927825263	0.569123838385	0.171216682477	0.0538912997196	0.148763952281
m	0.0417889247911	0.00178770351238	0.0190766796088	0.526340279462	0.180746094159	0.0456670189065	0.184593304094
ì	0.0599631402637	0.00143096786446	0.00824782209293	0.351838313154	0.279906101386	0.101332918635	0.197280718031
k	0.0262081993112	0.000521115275153	0.00334020005431	0.207710434385	0.400588337129	0.122551263878	0.239080432677
à	0.00914625199373	0.000216112148051	0.0016939254631	0.133520769128	0.386175369043	0.200786648959	0.268460924226
i	0.00343250658791	7.45773284503e-05	0.000607948360033	0.0490838566427	0.356583609681	0.40072542632	0.189492084742
m	0.0026516122193	4.34379065834e-05	0.000333662580678	0.0175983830142	0.238093589894	0.36931999544	0.371959328247
è	0.00372361750643	4.06840358611e-05	0.000272910336893	0.00757282843807	0.111783368631	0.414923355147	0.461683239416
r	0.0165040545021	0.00064579126462	0.00117244978896	0.00401643507936	0.066124524877	0.533258125049	0.378278596472
i	0.0201235185674	0.00091006960154	0.00166847977632	0.00539553505979	0.0528053656257	0.481971225016	0.437125755491
</S>	0.0111341833837	0.00056179022077	0.00118781900816	0.00819474802989	0.0443520738129	0.468230312508	0.466339012746
