 	la	pasta	vuole	sale	</S>
i	0.64691438	0.3507519082	0.0013080191875	0.00092492695	0.000100779551
p	0.47299024	0.490453722733	0.0349433595292	0.000952903733333	0.000659815502333
à	0.324791031667	0.578456474244	0.0928047865097	0.00251493926111	0.00143284490078
s	0.132864444222	0.711087758081	0.121923998837	0.012901850287	0.0212219763669
t	0.177451873407	0.579358666027	0.176148189612	0.0214768497623	0.0455644001223
a	0.178241477502	0.343600725342	0.413175253204	0.0259226162541	0.0390599127074
t	0.0607142922673	0.169905129914	0.694527271068	0.0252720240847	0.0495812922358
è	0.0218836851558	0.0606386101047	0.680662393689	0.168680356695	0.0681349867453
l	0.00841396277527	0.0780906753682	0.595516647896	0.238635048898	0.0793436669151
i	0.00452183531509	0.0832348471227	0.500412759299	0.265898946299	0.145931584305
à	0.00323040273836	0.0291562495076	0.264577096433	0.453360795433	0.249675444768
l	0.00142087626112	0.00998653322587	0.120272300811	0.500656475144	0.367663821589
a	0.00192478246871	0.00357151388196	0.063330071437	0.410809445048	0.520364187196
</S>	0.00310329373435	0.00200255876598	0.0329417894685	0.355280737524	0.606671613598
