 	non	mi	aspetti	che	non	vengo	</S>
m	0.48857042175	0.0500136865	0.421036304515	0.0398799386975	0.00044375906295	3.0868311025e-05	2.510289217e-05
ì	0.494399155083	0.0437406305	0.421403168438	0.0399433483658	0.000456226304317	3.14474420083e-05	2.60855206567e-05
m	0.499359667361	0.231721345167	0.229093169746	0.0372127849219	0.00187851921811	6.91156023361e-05	0.000665465724819
e	0.416350251454	0.353050288389	0.185174004915	0.0391120683073	0.00522954460604	0.000168380027445	0.00091553469494
m	0.385500220321	0.18242194113	0.363239516638	0.0626172694358	0.00569967790201	0.000156004730148	0.000365379338313
ì	0.13349203461	0.08349087471	0.446116252213	0.127430669812	0.207607147334	0.00141566899105	0.000447341546104
n	0.0497276486033	0.32525674757	0.227487168738	0.120680849937	0.274279190745	0.00186720493702	0.000701194362035
i	0.0169699566844	0.38779260733	0.175820864246	0.273533813312	0.142969448548	0.00177209911901	0.00114121425401
k	0.00576353958647	0.135278390583	0.220258654749	0.523906381104	0.110460424183	0.002301063073	0.00203157648467
a	0.00319826063716	0.051042601813	0.170797203116	0.441727460368	0.327556126061	0.003122138491	0.00255625916156
e	0.00235543361372	0.017045884613	0.0605132909053	0.428873253456	0.479485385354	0.006651716597	0.00507505388719
n	0.000819750077107	0.00583916996767	0.0311737596351	0.579390284485	0.337214338451	0.020962608199	0.0246000966291
è	0.120670103664	0.00222871311256	0.0188939118467	0.399396346995	0.39059642615	0.031663169733	0.0365513462097
r	0.160618683425	0.000929643434187	0.00980083091723	0.422472901165	0.333238815383	0.024211161911	0.0487279670699
k	0.0535489142728	0.000627698941396	0.00699087963908	0.445872008722	0.169410458461	0.146682583304	0.17686746069
o	0.0254331473516	0.000988877863799	0.00297243301303	0.167527141141	0.192943366154	0.310273507768	0.299861533563
m	0.0166088929172	0.00155786678793	0.00782527447101	0.0846255102803	0.168515177051	0.265921420589	0.454945871188
e	0.313958719772	0.00172260376264	0.00907442824034	0.0559472701338	0.077148813017	0.13201450653	0.410133649063
</S>	0.618778744886	0.00158457648132	0.00458965374517	0.0279873351274	0.0474119350085	0.077272495765	0.222375212531
