 	mia	sorella	quest'	anno	che	vienne	studierà	per	medico	</S>
i	0.98737798	0.0100494828	0.0021663079	0.000387067024	1.417341575e-05	4.125709735e-06	7.5076345e-07	8.0269015e-08	2.255138425e-08	4.0893935e-08
a	0.982893163333	0.0130012011333	0.00391127636667	0.000185367460667	5.78416381667e-06	1.98971510167e-06	1.17509998333e-06	4.37474883333e-08	9.09816115e-09	2.8759085e-08
d	0.729679404444	0.248666880378	0.0201293114556	0.00129288865689	0.000210712539339	1.53514657339e-05	4.10356039444e-06	4.98560286111e-07	1.43746335283e-07	7.15044678333e-07
e	0.441252678148	0.522680026793	0.0337231411519	0.00202408458563	0.000293306217113	2.04375726446e-05	4.54527771481e-06	6.43106567537e-07	1.87927311428e-07	9.34050790911e-07
r	0.270420070716	0.666440542264	0.0573785670506	0.00515904872854	0.000549516809704	4.18715716149e-05	6.3700338216e-06	8.17331294679e-07	3.45668446809e-07	2.83168832844e-06
f	0.0972580901053	0.557366980755	0.268304695684	0.0703157569095	0.00579447250323	0.000851664105872	8.09222356072e-05	1.31123175649e-05	3.96405804894e-06	1.03367867761e-05
ì	0.0333567132684	0.480181826918	0.363233091895	0.10940827097	0.0124965435011	0.00118109448196	0.000109543025536	1.73920450216e-05	4.96715551631e-06	1.0552642892e-05
m	0.0117767079561	0.472001668973	0.377251240632	0.10053486899	0.0208099688337	0.00427514654065	0.0111797686788	0.00152718916517	0.000210718382005	0.000432708192264
m	0.00488680658537	0.487139282991	0.377908743544	0.08568386033	0.0209135519446	0.00560193548022	0.0149363922863	0.00205588164006	0.000288334906002	0.000585225929755
u	0.00317769562846	0.484419360997	0.407198697848	0.0801347874433	0.0158923269815	0.00302943236007	0.00511634572877	0.000715325841353	0.000105782470701	0.000210301293918
f	0.00206035117615	0.229886405666	0.616816752616	0.122464009148	0.0229394329938	0.00299902928669	0.00229667891626	0.000326121700118	6.18245636003e-05	0.000149454239639
è	0.00642717135872	0.0898781428887	0.662919067539	0.204835819716	0.0314728376646	0.0027816332289	0.00131695330875	0.000194235501173	4.69609838668e-05	0.000127167002613
t	0.00784105707624	0.0659923432962	0.671017595846	0.218733316572	0.0302935798882	0.00235141854297	0.00341454167292	0.000162651991524	3.02147926223e-05	0.000163239733604
i	0.00370306948208	0.0556856171821	0.509729501949	0.338248562191	0.0760637339627	0.011649343781	0.00452864882431	0.000172787237175	2.74276702074e-05	0.000191270869868
p	0.00230515729536	0.018898841034	0.36888298065	0.468836637397	0.119582466654	0.0174490275937	0.0033099457081	0.000296837185725	8.85361974025e-05	0.000349564365289
ò	0.00256557106645	0.00650204204133	0.292977748883	0.502376462466	0.170421727551	0.0213666478646	0.00292365056937	0.000347052285242	0.000111445453134	0.000407690805096
r	0.00263015954748	0.00227765744044	0.136039883628	0.580633487489	0.237588102517	0.0284248192882	0.0102214093565	0.000835172185081	0.000230409368378	0.00111893406837
k	0.00101214289783	0.00141878323348	0.076638612776	0.484630782496	0.323456334172	0.0673641264294	0.0323598911188	0.00661377026169	0.00225047802279	0.00425508335612
e	0.00480037048928	0.00111478243783	0.0274634367687	0.264236448499	0.461948744724	0.183964102143	0.0400127857063	0.00871389348723	0.00283972086093	0.00490568415204
t	0.00593964584509	0.000434014129277	0.00955403699957	0.162613713833	0.549424961575	0.218901910714	0.0358206545688	0.00683212822908	0.00253379334031	0.00794509075068
e	0.0021558652637	0.000164326002426	0.00354987922086	0.119864690111	0.452268077192	0.358307113571	0.0454774681896	0.00672031540969	0.00245915642677	0.00903305951689
e	0.00102090493123	6.7034709142e-05	0.00119342232129	0.0409568214703	0.238703207731	0.633656237857	0.0731996840632	0.0054286364699	0.00113196338892	0.00464202143896
n	0.00047217919221	3.3854797714e-05	0.000407389140763	0.0148065249234	0.148073801244	0.634537165952	0.126731108021	0.03491417249	0.015805869063	0.0242178734797
a	0.000239869019203	2.06184615713e-05	0.000148165249588	0.00596894094113	0.105864419748	0.603620241984	0.181708602674	0.04911286183	0.021262293921	0.0320539348932
s	0.000163615736734	1.52478541904e-05	6.19959725293e-05	0.00290044258038	0.106883769249	0.566465413995	0.203725900891	0.0513986249433	0.0237015928737	0.0446833566977
t	5.72430642513e-05	9.22178878347e-06	2.51084493431e-05	0.00176807434679	0.104043748083	0.400959487998	0.210463736964	0.104385398314	0.0651282259579	0.113159725566
u	3.57598477571e-05	8.57960431449e-06	2.4851309281e-05	0.000798155135597	0.0426749960277	0.331781112666	0.316182782321	0.124546062771	0.0673205426526	0.116627111855
d	3.40752915857e-05	1.20062104382e-05	2.8588423927e-05	0.000543801361866	0.0212165634426	0.242117990889	0.38243828744	0.144282914257	0.0790546082175	0.130271127285
i	0.000255389971529	3.59266731461e-05	5.6474670809e-05	0.000366147293955	0.00970564980087	0.128326086963	0.376267755813	0.232253048086	0.0994739410725	0.153259565762
è	0.00034618073551	4.60602000487e-05	9.0168623603e-05	0.000249071821318	0.00369099346362	0.0805893056543	0.532008705271	0.225917436029	0.0590572770242	0.0980048225873
t	0.000138655379537	2.16465022162e-05	5.90957425543e-05	0.000127467837639	0.00139876649454	0.0421860671181	0.71305883509	0.143018865343	0.0299753876747	0.0700152281958
s	4.72115842123e-05	7.8164312054e-06	2.04673889714e-05	4.47747189797e-05	0.000510525703847	0.0180728617727	0.534768928363	0.191241011781	0.129625016225	0.125661406065
i	0.000281960709737	8.77782326685e-05	0.000147828846424	0.000239375882227	0.00102357544362	0.0254258154242	0.375869592788	0.25517178726	0.178035164408	0.163717152022
j	0.000453460929912	0.000151361570889	0.000212296155475	0.000356012970742	0.00149399350121	0.0272147666747	0.325940334263	0.206024163753	0.154507493803	0.283646130674
a	0.000832239936637	0.000325704156963	0.000698354911825	0.000802548700247	0.0011512788204	0.0130629040916	0.141620447754	0.161421189251	0.318113001268	0.361972333558
m	0.000927699012212	0.000364328626654	0.000847290969608	0.000935676973416	0.00107303824013	0.00924024003053	0.095161048918	0.152934476417	0.364541447089	0.373974754519
è	0.00994842767074	0.00269163436655	0.00998208548887	0.0172928974645	0.0198780957134	0.0277309326768	0.0804831109727	0.108231085472	0.358718512363	0.365043228173
d	0.0129421615036	0.00346387531985	0.013118176763	0.0227929965715	0.0258593274345	0.0322614937723	0.0549963449909	0.0807476951573	0.402113437454	0.351704462724
i	0.0114684201145	0.00593923230428	0.0212786961877	0.0255508496072	0.0230405170082	0.0597727858041	0.054134924997	0.0778985183858	0.376274299151	0.344641690908
