 	mia	figlia	vuole	andare	</S>
i	0.991766525	0.0081389555	6.6062525e-05	2.0337094e-05	7.9929235e-06
k	0.866644108333	0.131039059833	0.002099254485	7.65757646667e-05	0.000140899436833
i	0.734178669444	0.262091223278	0.00343242422833	0.000111493836556	0.000186157757611
a	0.498625156481	0.498525114426	0.00265530820944	0.000119932053852	7.4482239537e-05
t	0.223165195494	0.768581554809	0.00737180360315	0.000436836201284	0.000444600638179
è	0.130804130498	0.83304012827	0.0331038905344	0.00205969343376	0.00099212854606
r	0.0578957274993	0.896168119423	0.0417983668448	0.00279444864459	0.00134334734869
a	0.0277746761664	0.836716739808	0.122761192282	0.0081288450482	0.00461862604956
m	0.0309806537221	0.651496919936	0.287785570761	0.0140627906827	0.0156741246832
u	0.0271261472407	0.387130257312	0.53541179692	0.0289025198942	0.0214292728944
i	0.0123907541802	0.141871957604	0.728903218973	0.0787846699647	0.0380493512981
t	0.0057744981334	0.0500551208347	0.743617639658	0.121472049988	0.0790806520994
è	0.0035709694178	0.0177295223782	0.662983246553	0.232346553329	0.0833697073665
l	0.00283360060927	0.00759287419273	0.620990948851	0.284935754443	0.0836468224555
i	0.00271894793976	0.00393388329758	0.44315074395	0.388334908148	0.161861500819
n	0.00267160086525	0.00158487082253	0.186232398983	0.527122002716	0.282389123606
a	0.00182811324042	0.000735929265843	0.0959126775943	0.579041787572	0.322481481202
p	0.00156631933181	0.000403015623614	0.0339870649648	0.570788529191	0.393255043734
à	0.0102138149623	0.000679162041205	0.0140498246883	0.563395843064	0.411661331245
i	0.0184859986541	0.000811864347068	0.00691464316277	0.517696114355	0.456091343748
</S>	0.017372618327	0.000664327123534	0.00470719618138	0.403970107177	0.573285696874
