 	ho	cosa	a	fare	</S>
è	0.55345906	0.3557277922	0.067078548375	0.01904853104	0.0046861176
c	0.29051626	0.5753015274	0.081110024125	0.02443182168	0.0286403702
h	0.30306143	0.598179392467	0.0456370180417	0.01439750576	0.0387246560667
o	0.2386571243	0.504699250822	0.100007154681	0.112513342453	0.0441231446889
t	0.0919468024	0.563652270274	0.13553644156	0.147971077818	0.060893432563
i	0.0448226853333	0.479265160758	0.29556485052	0.0954199562727	0.084927358521
k	0.0233388949778	0.195041294919	0.44395265684	0.104652682091	0.233014496174
à	0.0152471499259	0.0854175133063	0.320998948947	0.310406400697	0.267930002058
i	0.0532750629086	0.0326849687688	0.180963313982	0.450127196899	0.282949457353
</S>	0.0971514814543	0.0216118643844	0.117383738491	0.37724347845	0.386609438676
