 	lo	sentii	che	viene	</S>
t	0.9057526	0.0901752597	0.003518670315	0.000230928245	0.00032251599
o	0.630720533333	0.321241603233	0.039330794305	0.006788073815	0.00191894669667
n	0.284041636778	0.629544087744	0.0737417797683	0.009480926605	0.00319148463222
ì	0.112150079326	0.704157732581	0.151930504923	0.0265903422017	0.00517126527741
k	0.0596468811753	0.674025484194	0.206112914974	0.0380005437339	0.0222141257591
u	0.0413587495051	0.485312444731	0.300105374991	0.125965574245	0.0472578175864
s	0.0161742889484	0.23318157491	0.500877034997	0.167779364748	0.0819877258621
a	0.0090969980828	0.130164056637	0.442318211666	0.307201328249	0.111219405287
n	0.0053906400276	0.051265016879	0.304441337222	0.395424096083	0.243478908429
a	0.00975990957587	0.019718006693	0.207053987907	0.486434118694	0.27703395281
r	0.0104317472253	0.007807462011	0.0734129808023	0.502348739565	0.405999040937
t	0.00363760019843	0.00292825655733	0.0274219114541	0.355365196522	0.610647013646
i	0.0532027344895	0.00610670502611	0.0112943809047	0.348152448841	0.581243704549
</S>	0.104555197245	0.0107420655131	0.00859434330235	0.305940024421	0.570168352275
