 	è	pericoloso	di	nuotare	nella	notte	</S>
è	0.661347935	0.3382789385	0.000330392035	4.10233985e-05	1.20865902e-06	2.40049725e-07	3.6630877e-07
p	0.541717351667	0.425225176167	0.0221122243217	0.00779625366183	0.000893058274187	0.000527832621532	0.00172812335456
e	0.393372154222	0.553707608722	0.0382014741072	0.0105171441806	0.00119298869673	0.000703892413624	0.00230472591229
r	0.151791835074	0.749405302907	0.0901725427024	0.00700701968687	0.000574178004243	0.000251553591988	0.000797562894863
i	0.069554161808	0.799712887636	0.124062760901	0.00590452284562	0.000370143081581	0.000100662943529	0.000294867979621
k	0.0265515467193	0.717829749212	0.241874416967	0.0127088688985	0.00070685970736	9.65017897097e-05	0.000232073417874
u	0.0123016290598	0.696414649737	0.275009613989	0.0151176610995	0.000848563482453	9.63096644699e-05	0.000211595081425
l	0.0066815223066	0.632127223246	0.337896012996	0.0216992844998	0.00118448257415	0.00012596186939	0.000285511629275
ò	0.00526490556887	0.337398429749	0.617765804332	0.0353892671666	0.00359572059138	0.00022491571313	0.000360884479758
s	0.00324760262296	0.23628976525	0.720865791444	0.0349931780555	0.00405531133046	0.00022239814771	0.000325903189919
o	0.00659663347432	0.167519367417	0.729190373815	0.0912391243518	0.00473652391015	0.000191162405903	0.000526855769973
n	0.00701509372477	0.061708312539	0.712360144605	0.201777651451	0.01344768597	0.00112786434863	0.00256330490332
a	0.00434233197492	0.0220122412797	0.465871368202	0.470672350484	0.0306507763233	0.00189314631621	0.00455782343444
n	0.00340706836664	0.0079071031299	0.226124476067	0.694394283495	0.0518950521078	0.0045927443054	0.0116792886115
a	0.00294107969721	0.00285777770663	0.135334105889	0.752449627832	0.0829323607026	0.0065026653018	0.0169823852038
t	0.00276582700807	0.00112309709221	0.050189291163	0.792067575944	0.116248403568	0.0111451873006	0.0264606277346
è	0.00404098257836	0.000791749760737	0.0214137894977	0.663082981981	0.240583441189	0.0242665697669	0.0458205112449
t	0.00445708261465	0.000692910343579	0.0116257669426	0.602037597327	0.280759707063	0.0301820969223	0.070244910415
s	0.00148908839015	0.000252142033806	0.00826232063853	0.469748729109	0.286267315688	0.0841803993074	0.149800060138
i	0.00229135822678	0.000147403757215	0.00281578690718	0.191155645703	0.495198868563	0.107864558769	0.200526383379
a	0.00436103714226	0.000185571839072	0.00103231368439	0.0706934720677	0.556860606188	0.0960549285897	0.270812081126
t	0.00326738810209	0.000136832580024	0.000385133330463	0.0270081344226	0.412770825396	0.201029892863	0.355401780375
s	0.0011000833781	4.7502149708e-05	0.000134224338754	0.0104863103109	0.242337920799	0.390689347621	0.355204590125
è	0.000475791748767	7.43995426027e-05	0.000114428571185	0.0055918330403	0.1286558026	0.401662409207	0.463425316708
n	0.000272819777589	8.50500830009e-05	0.000110938544062	0.0042160812601	0.110400810867	0.312332579736	0.572581685569
ì	0.0013472660872	0.0004386734298	0.000134175741687	0.00227608460003	0.080766499289	0.345142216579	0.569895041856
t	0.0017042118184	0.0005566632075	0.000141734892562	0.00169214050001	0.0790151020963	0.33787946886	0.579010630619
t	0.000572863570333	0.000187730901733	5.08951735873e-05	0.00095980475667	0.0724099538988	0.455445962953	0.47037275354
a	0.000791587831644	0.000284172902244	0.000268401581929	0.00481765814222	0.0415068111663	0.441804012651	0.510527344513
</S>	0.00129602026582	0.000474157501122	0.000510764440964	0.00913215907111	0.0434655805832	0.275006043825	0.670115272257
