 	dopo	Giovanni	ritornò	la	sera	a	casa	andava	molto	stanco	perché	aveva	lavorato	tutta	la	settimana	</S>
d	0.96857065	0.029217491	0.00124165821	0.00040934311	0.0004905013925	4.880787925e-05	1.179026425e-05	6.36431155e-06	2.422212285e-06	6.7629455e-07	1.228075875e-07	7.0145675e-08	8.01522145e-08	2.89952718e-08	1.78293572e-08	1.092412885e-08	7.73350365e-09
ò	0.84459235	0.154341589333	0.000674743196667	0.00017614548	0.000181486684167	2.22300103167e-05	6.40482225e-06	3.41772875e-06	1.08046654833e-06	3.8437674e-07	8.58895175e-08	4.1712771e-08	3.45207236667e-08	1.22933431667e-08	6.8915221e-09	4.06395253e-09	3.65083555e-09
p	0.538151416667	0.294008336444	0.0500600161522	0.0319188557067	0.0146456018431	0.0332651179345	0.0102790761821	0.0169478594064	0.00313705060995	0.0039179725892	0.00254155661428	0.000576307634536	0.000187946459734	0.000221899501612	5.37994762096e-05	5.85616741575e-05	2.85918894061e-05
o	0.256264223889	0.517298992148	0.0691957133841	0.0427775163356	0.019504441441	0.0443557036188	0.0137089156024	0.0225966169385	0.00418248382211	0.00522386304312	0.00338871728387	0.00076839830519	0.00025058480917	0.000295862309155	7.17304303093e-05	7.80809599646e-05	3.8122206056e-05
G	0.145524486296	0.612685464049	0.104775075795	0.0679545532119	0.0161431966403	0.0293046088469	0.00788367124247	0.00848969291583	0.00266047829283	0.00251465236109	0.00141465088374	0.000339458848742	0.000108765018982	0.000122846285003	2.89835313425e-05	3.1993385567e-05	1.74056879393e-05
i	0.107269562099	0.645259388016	0.116915190432	0.076584238104	0.0150741792801	0.0242860695363	0.00593891801716	0.00378625982658	0.00215304361741	0.00161153568575	0.000756613297198	0.000196469480934	6.14898103413e-05	6.51730622275e-05	1.47342488864e-05	1.66307031444e-05	1.04987095219e-05
o	0.053535893433	0.857283212672	0.0448958933107	0.0261494305847	0.00515254092537	0.0081063925362	0.00198449069089	0.00126332548233	0.000717741779513	0.000537200158171	0.000252206380437	6.54918467927e-05	2.04973696677e-05	2.17244583266e-05	4.91146193628e-06	5.5435980227e-06	3.49975290556e-06
v	0.020243325611	0.817263874224	0.109619182437	0.0354533110449	0.00693578707379	0.00699538994883	0.00155247437913	0.000689046812943	0.000620179613751	0.000372057250256	0.000165935735566	4.50645740587e-05	1.49958514292e-05	1.49132557998e-05	3.85632594731e-06	5.19879036007e-06	5.40667015795e-06
à	0.0201928596037	0.716410278075	0.181974777479	0.062235947015	0.00910158535793	0.00700380661628	0.00145955463304	0.000499871895981	0.000588260919484	0.000317151939005	0.000137218535472	3.82705659596e-05	1.31728757651e-05	1.26454635236e-05	3.50783956477e-06	5.08990242536e-06	6.05087376665e-06
n	0.0192099108679	0.762921126025	0.16049754916	0.0483521866717	0.00483609208598	0.00293145430543	0.000584924024347	0.000251503356994	0.000218083759728	0.000116239610255	5.29543474407e-05	1.35014064265e-05	4.6678728337e-06	4.50371307487e-06	1.22514733726e-06	1.93526287045e-06	2.23892064955e-06
n	0.00777072205597	0.686812028675	0.225550846387	0.0653733265572	0.00980708799533	0.00327233556848	0.000774572014782	0.000261695985665	0.000221860644909	9.62603717517e-05	3.62999754802e-05	9.30541214217e-06	5.4839745679e-06	2.86737926829e-06	1.06782031242e-06	2.00865921348e-06	2.33235889652e-06
i	0.00449445965199	0.432923902892	0.362635268796	0.165442655519	0.0260601119984	0.00561477942283	0.00199251073826	0.000474355828555	0.000229324238303	8.70487485839e-05	2.47367030934e-05	7.90415398072e-06	5.8935353893e-06	2.0839386361e-06	9.78857247473e-07	1.81540615983e-06	2.23063229217e-06
j	0.00420862031733	0.228946598964	0.526221079599	0.189340368506	0.0380799306661	0.00771036804094	0.00325684927942	0.00107106150952	0.000666274516101	0.000366471314195	8.73637379645e-05	2.69138544269e-05	1.00388383298e-05	3.18616782537e-06	1.06775115916e-06	1.19546074194e-06	2.62019842406e-06
ù	0.00338393133911	0.108357998955	0.4459888432	0.324144172835	0.0985772335554	0.0125872946803	0.00439054265981	0.00114155982651	0.000810963570367	0.000456732026898	0.000107874779088	3.29026693756e-05	1.13103529566e-05	3.55648186179e-06	1.11330493972e-06	1.04809053065e-06	2.92053870802e-06
r	0.00201726400237	0.0374001796183	0.244205001067	0.516465210945	0.135615757852	0.0412718238934	0.0116067533533	0.00431186459884	0.00422295275512	0.00183416293113	0.000806235106129	0.000121641121025	5.10173998322e-05	3.48526085406e-05	6.43885339991e-06	1.28997280269e-05	1.59477858027e-05
i	0.00199107522346	0.0138893980061	0.169948383022	0.542278923648	0.159920589284	0.0667117812978	0.0261433424511	0.00949400853295	0.00579078285171	0.00243324893038	0.00107307907371	0.000161736906008	7.15134879441e-05	4.61380114135e-05	8.4268874333e-06	1.69242345923e-05	2.06611484342e-05
s	0.00196471130759	0.00530573319603	0.185425167007	0.480493474549	0.191808129761	0.0816171890993	0.032350625817	0.010613742511	0.00614938121724	0.00266178793013	0.0010929981629	0.000224981964336	0.000130423050648	7.14009290378e-05	2.32549004444e-05	2.89601234474e-05	3.80789109781e-05
e	0.000953686422297	0.00178207182468	0.171867804236	0.337280311516	0.312361793254	0.106179548366	0.0464452356057	0.0124060095037	0.00630938097241	0.00274641575004	0.0010868858643	0.000244029259779	0.000152042165883	7.97923830126e-05	2.83331470481e-05	3.29689697691e-05	4.3719797026e-05
o	0.000826489460766	0.000605685441227	0.058850784512	0.201373028505	0.495006911085	0.130422402789	0.0827370435352	0.0241208028346	0.00379247842414	0.00152492649001	0.000463434894767	0.000121237371593	8.64914376277e-05	3.00788146709e-05	1.07690789827e-05	1.14120489597e-05	1.60524696753e-05
v	0.000489545111922	0.000223458564742	0.0260451413707	0.203390167502	0.463682440362	0.169205084263	0.0860376035117	0.0292075562782	0.0115093983414	0.00506445529667	0.00236545086159	0.000886387850531	0.000605139645876	0.00047555220189	0.000230021446061	0.000283071036737	0.000299581597192
r	0.000166645443551	8.99113496473e-05	0.0148166121102	0.225772482501	0.446698836787	0.186994264754	0.0742188785039	0.0202332367594	0.0154957041138	0.00759717423222	0.00354402475386	0.00138849083684	0.00102682677196	0.000702614123963	0.00036103358202	0.000415084305579	0.000478220519064
à	0.000425654629094	5.06232546158e-05	0.00556852315673	0.2262040175	0.497858038929	0.159641309585	0.0793101548346	0.0142422845865	0.0081688685046	0.00442376705741	0.00181724142462	0.000744989533947	0.000623346710653	0.000315998022954	0.00017955071624	0.000180405941603	0.000245201284021
i	0.000560452419698	4.18756648719e-05	0.00245907325224	0.1916698105	0.469956952976	0.150068174528	0.121629543612	0.0535435005288	0.00577806663487	0.00252751659914	0.000846596314873	0.000320555389649	0.000276819000218	0.000112570913285	6.221752948e-05	6.11404538777e-05	8.50852246737e-05
è	0.000248530999233	2.41848299573e-05	0.000923859297747	0.0763074058333	0.352520030992	0.148402263509	0.179720587871	0.218183000176	0.012421199545	0.00768351226638	0.00239569990496	0.000580518573216	0.000385152580073	9.1488725095e-05	3.63128329933e-05	2.71112745592e-05	4.91183272246e-05
s	9.61023148477e-05	1.40692019524e-05	0.00116401671292	0.0691888729444	0.215834730331	0.19575104317	0.160483655957	0.273206773392	0.0412777711817	0.0236969024221	0.013346556635	0.00261771679107	0.00110278510669	0.00123572131503	0.000270437612331	0.00041166656452	0.000301142469075
s	3.22069494426e-05	5.03064093747e-06	0.00124159849864	0.0685981810815	0.232089373444	0.259472301057	0.154490515319	0.153184106464	0.0626622027272	0.035825857474	0.0190756208783	0.00499232066369	0.00314876780223	0.00237613427168	0.00093733540411	0.00093875355484	0.000929671936358
u	9.38438752042e-05	6.97776463249e-06	0.000435706921547	0.0254212968105	0.211773027815	0.205328853686	0.301464831773	0.155280660821	0.0502647532424	0.027666556158	0.0109034777261	0.00393794895456	0.00327808283408	0.00161797645889	0.000922328704703	0.00072087771728	0.000882844714119
ì	0.000127281700401	1.32712925442e-05	0.000161674184849	0.00866661438583	0.095987299805	0.106873353895	0.361262353924	0.350432913607	0.0419068044141	0.0221465167193	0.00701883817537	0.00212049628485	0.00171019401136	0.000639398851297	0.000340574341568	0.00025461511276	0.000337833533373
b	5.55204314537e-05	1.34779128481e-05	6.21756286163e-05	0.00324041352761	0.038125979135	0.064706673965	0.221713627975	0.512496871202	0.0743279514714	0.0450496232398	0.0269663708918	0.00550046649495	0.00211597643712	0.0030520460471	0.000578025950523	0.00108319491225	0.000911606704458
b	7.52015231379e-05	8.9961729616e-05	4.80672632054e-05	0.0015532211592	0.0181842692117	0.0506331909883	0.134708139325	0.423201113734	0.17751265049	0.0906642210799	0.0546838749639	0.016440486165	0.00961069374571	0.010335676349	0.00391765545017	0.00457759513742	0.00376397606815
i	0.000336879084379	0.000133382893205	6.84395790685e-05	0.0006680915324	0.0084549014039	0.0272772083294	0.158642029775	0.408440327911	0.208924200163	0.0902773936933	0.0446964445213	0.016678062955	0.0119197913486	0.010089394483	0.00462171073339	0.00476816686247	0.00400358744938
e	0.00221599192813	0.000187335364402	5.78556413562e-05	0.0002476949328	0.0035893817113	0.0113916291431	0.152821236592	0.50685427597	0.171155446721	0.0943004278978	0.0293178633738	0.0107619935517	0.00822755354953	0.003871301761	0.00171528963446	0.00164748312082	0.00163727410979
