 	ieri	abbiamo	deciso	che	oggi	andiamo	alla	spiaggia	</S>
e	0.7572276	0.23561246235	0.00710727	3.599529e-05	1.2994216e-05	3.4950486e-06	9.1855732e-08	6.11979925e-08	4.33725895e-08
t	0.724534433333	0.262302914117	0.0128471523333	0.000258146596667	4.9677829e-05	6.68287586667e-06	7.02050895333e-07	1.61060704167e-07	1.28660764167e-07
t	0.743624991111	0.173609774706	0.0774305361111	0.00405692169889	0.00107000533967	0.000202981842622	3.83543243178e-06	4.15129121389e-07	5.57599481389e-07
è	0.487911653704	0.408702484902	0.0966542143704	0.00508435906963	0.00137674724422	0.000265351219641	4.23956301393e-06	3.9207876213e-07	6.14884318796e-07
d	0.224093026235	0.463745279634	0.29498227379	0.0106477691932	0.00474606987907	0.000903537395314	0.000194861073541	0.000553934528676	0.000133300709765
e	0.101053224878	0.514321251211	0.36375151593	0.0126237939411	0.00595242687969	0.0011229376551	0.00025882111628	0.000738481994525	0.000177613827332
c	0.039549219426	0.659504200404	0.249527056643	0.043219684857	0.00676519554656	0.0008050282417	0.000279927430527	0.000259782841142	8.99647765207e-05
i	0.0181267336753	0.710259236801	0.207991557548	0.0553049382857	0.00713972380219	0.000727721655567	0.000289054020709	0.000100195876787	6.08817669936e-05
d	0.00665897443177	0.5757577556	0.334052597849	0.0734489594286	0.0089381318874	0.000750913626856	0.00024221228077	7.96424906683e-05	7.08362971512e-05
è	0.00272539498392	0.453354501867	0.424078359283	0.10332870981	0.0142441712958	0.00184720874229	0.00027028798359	7.33878131894e-05	7.79619710504e-05
t	0.00204782172797	0.484285560622	0.437523546428	0.0636883339367	0.0103143144986	0.00183167478076	0.000148045207863	9.98652506965e-05	6.08073690168e-05
s	0.00266537080932	0.302299423541	0.548140348809	0.130075201979	0.0137284805662	0.00229687529359	0.000439821872621	0.000167379080232	0.000187108649672
a	0.00431911380311	0.166591239847	0.390966442936	0.342812673993	0.0777633118554	0.0161372644312	0.00100013792421	0.000132043610744	0.000277769339891
m	0.0038200311777	0.0646137052823	0.221486959312	0.568762157998	0.116720123952	0.0220861654771	0.00174795717474	0.000219535097581	0.00054330813663
o	0.0242436764359	0.0238271588941	0.118115677771	0.719984452666	0.092816125984	0.0183741914924	0.00177242699158	0.000241320944194	0.000624907555543
k	0.0309199009263	0.0098988081647	0.071827454257	0.775156600889	0.091492865328	0.0172162081641	0.00191076053053	0.000715802376398	0.000861562595181
a	0.0144622907564	0.00543809662157	0.056470077419	0.76538403363	0.129455343776	0.0249251357214	0.00205418401018	0.000876298260466	0.00093452041506
s	0.00897047187013	0.00392045259652	0.026585267473	0.74316985121	0.179449517925	0.0331157795738	0.00269613177006	0.000718173821822	0.00137430245502
ì	0.00369409477471	0.00133446411817	0.0130320650343	0.551204553737	0.332202749308	0.0926473355246	0.00363911002335	0.000690012568941	0.00155560001834
m	0.0019351277809	0.000487563717057	0.0104386218881	0.375443971246	0.386908116436	0.138345570175	0.0112742533411	0.0639750719513	0.0111917397394
m	0.000975830082967	0.000274814736686	0.00966217091937	0.369697283749	0.323223348812	0.136111501725	0.038685952447	0.0991750539838	0.0221940835798
e	0.00219562286099	0.000243797508895	0.00336957983796	0.237057499583	0.291121599604	0.350158677242	0.0516180014823	0.0474599786146	0.0167752632933
r	0.00228178893466	0.000157484564632	0.00121208858749	0.158845828194	0.309552816535	0.416958145747	0.0519143811608	0.0319026501582	0.0271747955311
