 	non	aveva	cosa	a	fare	</S>
e	0.92708	0.0664546525	0.006011879148	0.00027214407415	0.0001279692441	5.338154935e-05
n	0.65803959	0.334249824167	0.007228701216	0.000286188391383	0.000130274671033	6.544141545e-05
ì	0.283058636667	0.634892888056	0.0763118422387	0.00227937753046	0.00278684587001	0.000670488347483
c	0.128595435556	0.752418959352	0.10980072308	0.00327644304349	0.00393613129	0.00197236291583
h	0.120410588519	0.803501536451	0.0690700686933	0.00212963044783	0.00198419856333	0.00290399970528
e	0.0903433253063	0.531091013317	0.324896081564	0.0251406757159	0.0195411099878	0.00898783676843
t	0.0360328432354	0.189772060606	0.648186740521	0.057597248572	0.0306235919959	0.0377875519228
i	0.0242289457451	0.093085895202	0.524932200174	0.204208042857	0.054495985332	0.0990489373076
k	0.021200072915	0.0611220850673	0.250079888725	0.321794590952	0.0905188271107	0.255284519103
à	0.0557709429717	0.0327754460224	0.108644707542	0.241210903651	0.28043158437	0.281166396368
m	0.0607270418339	0.0132896446541	0.037859311814	0.174032191217	0.362089748123	0.352002035456
i	0.0364940114546	0.077972413198	0.0147121860713	0.120433163739	0.252338912708	0.498049301819
</S>	0.0425920357273	0.149211386599	0.00840419623565	0.0730370718695	0.245550256354	0.481205065909
