 	la	macchina	vuole	riparata	dal	meccanico	</S>
e	0.95659932	0.041630233	0.00172627465	3.169505e-05	8.862915e-06	3.169090585e-06	4.7007062e-07
m	0.669934534667	0.317942671	0.01164920825	0.000458396844333	1.27629676667e-05	1.62691835167e-06	7.6388762e-07
à	0.284241064556	0.673219907	0.04088556475	0.00163206054811	1.94803008889e-05	1.11464453389e-06	7.8918835e-07
k	0.126131131852	0.615412285667	0.170160231583	0.0765602149827	0.00761771241696	0.00145636103649	0.00266204983019
i	0.054405360684	0.479175495222	0.343366403861	0.107334681661	0.010224510039	0.00194254463516	0.00355096456473
n	0.0197851584613	0.569487231741	0.347198651287	0.0577835072203	0.003818579513	0.000712448761387	0.00121439320958
a	0.00817687745377	0.449642593914	0.484753427096	0.0541792580734	0.00248177803767	0.000321218850462	0.00044484201986
t	0.00348143858459	0.190634791305	0.706045755699	0.0950870750245	0.00387398217922	0.000472934986821	0.000404043223287
è	0.00363118516153	0.0862783873683	0.7696553519	0.133112751675	0.00636038395974	0.00055729886894	0.000404680404429
l	0.00358752821384	0.0460861513894	0.786972783967	0.148692393892	0.00976475431991	0.00370325192965	0.00119316279814
i	0.00332181133128	0.0328612914631	0.576144541322	0.347751857964	0.03302472444	0.00514676140988	0.00174902681605
s	0.00314700450909	0.012120613901	0.331843380441	0.598649302655	0.04737540648	0.00447786113663	0.00238644758868
t	0.0010618776167	0.004121224287	0.192772996814	0.690028044218	0.0911618104933	0.00963668627888	0.0112173702962
i	0.00181718702057	0.00146070975233	0.0735320480713	0.589116124739	0.307876943498	0.0101477282263	0.0160492224321
a	0.00284631057352	0.000588211412777	0.0250794488038	0.323163438246	0.628607647833	0.00611377997543	0.0136011024774
m	0.00182450561784	0.000392937262926	0.00942560048127	0.313693242749	0.594429485944	0.0505031907585	0.0297309534925
m	0.00073455637428	0.000310216331309	0.00419689261709	0.30254957625	0.532056011981	0.0724589189195	0.0876937611642
è	0.121895266433	0.0165992509741	0.0066976770957	0.128273604083	0.597078603994	0.0395876106398	0.0898679743881
n	0.162261047564	0.022080028948	0.00801304429857	0.301349598028	0.417040431331	0.0490510138799	0.0402048641294
i	0.0543629191747	0.00743685414267	0.00327112836619	0.337793433176	0.51497998711	0.0516579942933	0.0304977120431
a	0.0186730118582	0.00251595006989	0.00116874600773	0.113418977879	0.762225775703	0.0352528364311	0.066744692681
t	0.0065186273754	0.000860508180963	0.00040624093691	0.0382251925963	0.618701625234	0.201018302144	0.134269514227
t	0.0021789414268	0.000291401471921	0.000140584786403	0.0131707095421	0.364550491745	0.345149414048	0.274518474742
o	0.000791609567933	0.000108429171574	8.04032475677e-05	0.0047360800207	0.374540127248	0.253520546016	0.366222814914
m	0.000410320645978	5.9527281858e-05	7.53592558559e-05	0.0021231676869	0.326987627083	0.274090350005	0.396253694971
e	0.00936264735866	0.000381392310619	0.000284933811952	0.00138471639563	0.141610497028	0.291446916668	0.555528931657
k	0.0122771759996	0.00048451630954	0.000372481070651	0.00108990265188	0.0655598720093	0.380495352223	0.539720693886
k	0.0041058210567	0.00017124901018	0.000224117536884	0.00079037980396	0.0291698476698	0.479834414074	0.485704147962
à	0.0202350148624	0.00398733663773	0.0411792480056	0.0157065863013	0.0310119582233	0.380898061358	0.506981789321
n	0.0256139854015	0.00526422713391	0.0547826587052	0.0205628615404	0.0284714237411	0.542387467119	0.32291739144
i	0.0170670272478	0.0041525762993	0.0205951829384	0.0078996157868	0.0166867199137	0.51581967904	0.417779202147
k	0.0142514727693	0.00380108351977	0.00920931010113	0.0036773187156	0.0122386236712	0.470203566347	0.486618640716
o	0.0447715996098	0.0125966082599	0.014096551822	0.00658794019187	0.0116147905904	0.448340109782	0.461992436905
</S>	0.0823619198049	0.0232546281299	0.023546065911	0.0112549545959	0.0161140377952	0.248287461391	0.595180968453
