 	ho	rotto	una	bottiglia	</S>
è	0.74785651	0.25067949315	0.001261144205	0.0001958672024	7.0226324e-06
g	0.515136843333	0.47233993105	0.0108366639683	0.00139474766907	0.0002918372394
l	0.390948387778	0.57877281035	0.0266503776561	0.00297749288969	0.000650936946467
a	0.254558662926	0.700370720117	0.0419555872187	0.0023242930899	0.000790724115489
s	0.112597514642	0.619961643372	0.25058519574	0.01520409949	0.00165156037183
a	0.0612172892807	0.325901851124	0.591387531913	0.0195674795967	0.00192586091061
m	0.0226308531602	0.162204308041	0.781333643971	0.0278736096322	0.0059575759902
i	0.0100943207201	0.115490640347	0.835284714657	0.0309192765441	0.00821102019673
a	0.0042023720467	0.0902277263157	0.849922691552	0.0480474521814	0.00759974159891
b	0.00279596682223	0.0326157808052	0.645701690517	0.26344175406	0.0554448038663
u	0.0151098772741	0.0307399021017	0.537399570172	0.316204020353	0.100546584622
t	0.0180256037247	0.0300914624672	0.503261366724	0.252210079118	0.196411431541
t	0.00610976660623	0.0101846106917	0.242687392975	0.315950083039	0.425068123847
ì	0.0107947682667	0.00363674241323	0.081737950325	0.299854351013	0.603976204616
g	0.0123332146729	0.00148567406441	0.0283424898083	0.504649963671	0.453188693872
l	0.00412395690597	0.000532025333303	0.0102206915378	0.806061921224	0.179061451624
i	0.0756412643997	0.00322982124293	0.00367647500093	0.725817087075	0.191635378541
a	0.294821108133	0.00852403641431	0.00173251046698	0.392998645692	0.301923692847
</S>	0.440435424066	0.0108563412072	0.00123758745349	0.223998477846	0.323472171423
