 	deve	essere	bianco	</S>
è	0.922797335	0.0753539051	0.0016271234	0.00022163656
n	0.871172778333	0.118042135033	0.00557580653333	0.00520928630333
a	0.640887619444	0.335961845011	0.00975516617778	0.0133953734344
è	0.284268287448	0.68404160167	0.00851331505926	0.0231767968115
n	0.108393285449	0.74909887389	0.0891984800198	0.0533093602705
e	0.050635171583	0.724933101297	0.14098784334	0.0834438734235
à	0.0194242210943	0.588888023766	0.13928583778	0.252401901141
s	0.0076893994081	0.292294274589	0.329226765927	0.37078955038
p	0.00299226325603	0.119049522063	0.635760535309	0.242197676793
r	0.00238524552868	0.0399202297443	0.82346399177	0.134230548931
o	0.0222458270762	0.0152778724381	0.784877843923	0.177598479644
</S>	0.0416010855381	0.0104094422191	0.703606371961	0.244383114822
