 	non	li	aspettiamo	più	</S>
e	0.648132725	0.3261732892	0.023842879488	0.00175270222	9.83580625e-05
t	0.496582648333	0.4749291564	0.0260150107293	0.00218657904	0.000286592250833
u	0.350268751111	0.6122341988	0.0272701764764	0.00972023911333	0.000506653573611
s	0.12736792037	0.796384086267	0.0597392864921	0.0145823735378	0.00192634576787
m	0.0649015651233	0.601207565422	0.142970128831	0.116741547346	0.074179178756
è	0.0401337095411	0.279694971807	0.388233742944	0.192772159115	0.0991654084853
n	0.0182050406804	0.332308170602	0.470972514315	0.124981603705	0.0535326717284
u	0.0080803490268	0.321286782867	0.433574681438	0.186475228568	0.0505829612428
m	0.0059804344756	0.119799923622	0.511592637146	0.254529609523	0.108097371081
e	0.00858441749187	0.050058126494	0.367028733049	0.457909429841	0.11641925686
p	0.00667234639729	0.0174689469513	0.150716405016	0.54330097328	0.28184130212
l	0.00273441623243	0.0064914848461	0.062554365572	0.439353474427	0.488866227373
è	0.00339494361081	0.00226844522437	0.021807096624	0.636651091476	0.335878364791
o	0.00425162593694	0.00088931853479	0.00856383797467	0.818742830492	0.167552320597
</S>	0.00334443856847	0.000502458587395	0.00502295133734	0.849740165246	0.141389940298
