 	vado	vestito	</S>
i	0.96558995	0.0156702173	0.0187398745
p	0.936685766667	0.0374740006333	0.0258402721667
à	0.893013605556	0.0721985135444	0.0347879193889
o	0.759658501852	0.104060181181	0.136281349796
n	0.443377963951	0.19640396706	0.360218063265
d	0.172493360984	0.357625545687	0.469881087755
i	0.0694231216613	0.611188271896	0.319388591252
m	0.0400151385538	0.528437153965	0.431547659084
è	0.0253002618513	0.232279207988	0.742420486361
n	0.0123174467504	0.408109335996	0.579573178787
o	0.0105482390501	0.442528296999	0.546923426262
</S>	0.0145489795251	0.246391050999	0.739059938131
