 	non	ho	cosa	a	fare	</S>
e	0.839300035	0.1218850255	0.0344044176615	0.0027436461801	0.00127770839215	0.0003891518375
n	0.567552925	0.391457361833	0.0365162224538	0.00277658445337	0.00128278229805	0.0004141557625
è	0.249524637333	0.523972813944	0.197854747385	0.0138906732111	0.011473833	0.0032833061375
c	0.102093243444	0.591839151315	0.265173418128	0.018380789737	0.0154694748333	0.00704390854583
h	0.0577548998147	0.768778683772	0.145578928376	0.009499206579	0.0076120151111	0.0107762395153
o	0.0275540962582	0.530739363524	0.340543506125	0.0574938595263	0.0263525613704	0.0173165788384
t	0.0110914304061	0.183067898441	0.566018768708	0.123110546509	0.0438272671235	0.0728840786128
i	0.0196630694687	0.0695685814803	0.398676979569	0.27542969217	0.0936373123745	0.143024376204
k	0.0223691636562	0.0294339326601	0.143574564356	0.324553564057	0.138739944125	0.341328848735
à	0.0710965010521	0.0133423363867	0.0506067414653	0.175414074019	0.323764758042	0.365775589578
i	0.0968337853507	0.0124248484622	0.0174332359684	0.086905459673	0.463478986014	0.322923679859
</S>	0.0650735501754	0.0174310882311	0.0094640429342	0.0610430833365	0.411165393007	0.435822839929
