 	deve	che	entra	da	qui	</S>
è	0.939193985	0.056744519	0.0036201236	0.00018157852	0.00018738082075	7.24174245e-05
n	0.738072048333	0.247931829667	0.0117739232	0.000596765816667	0.00101093000025	0.000614539784833
g	0.418362956111	0.553195176556	0.0245261064	0.000942921605556	0.00167002353342	0.00130288219494
h	0.246509692037	0.718820892185	0.0305892894667	0.000828628435185	0.00159850551114	0.00165305119831
i	0.148803555679	0.773289780728	0.0465645524889	0.0150873869117	0.012556872637	0.0036978807661
s	0.0539534252263	0.841377193576	0.0650979908296	0.0199385992272	0.0158489488457	0.00378384510203
e	0.0194443770088	0.592001129859	0.33662369361	0.0403062503324	0.00921010324857	0.00241446578068
n	0.00664719501293	0.23609275862	0.68566349787	0.0592891114441	0.00866170708286	0.00364573762689
a	0.00407527358098	0.116467079207	0.685180365957	0.130399157148	0.0479549940276	0.0159231304423
m	0.00772776202699	0.0740610227357	0.590430721986	0.209496882383	0.0786051146759	0.0396785168141
b	0.00835874234233	0.0580992537786	0.404499155995	0.242056350794	0.0629015975586	0.224084918938
i	0.00742399178078	0.0208439004262	0.160215917165	0.361116583598	0.174397615186	0.276001999646
a	0.00934045626026	0.00788174184207	0.070611877555	0.459070521199	0.316976945062	0.136118469882
p	0.00744889528675	0.00448002248069	0.0376832278517	0.3429854004	0.389098291687	0.218304163294
ò	0.00572400646225	0.0031418955169	0.0147402427039	0.144754969467	0.589110117229	0.242528761098
t	0.00428340517242	0.00118400999097	0.00518005476797	0.065191878489	0.749970205743	0.174190443699
t	0.00145163530181	0.000434826100757	0.00195695164399	0.0395768694963	0.687888001914	0.268691714566
ù	0.0041349058266	0.000562320742019	0.00148972698933	0.0195847139988	0.464634143971	0.509594191522
</S>	0.0075306434133	0.000904864171009	0.00198735874467	0.0134297872494	0.310839836985	0.665307515761
