 	il	vino	buono	deve	essere	invecchiato	</S>
o	0.679945015	0.3182376968	0.00171162905	8.992184e-05	9.92265725e-06	4.8183573e-06	9.51812305e-07
k	0.457695371667	0.526238632267	0.0147228344167	0.00121007907333	0.000114753585417	1.46800701333e-05	3.64470380167e-06
r	0.565514807222	0.413989809089	0.0187343780056	0.00159219639978	0.000146751463306	1.80486034444e-05	4.04433264389e-06
a	0.542203599074	0.41591037803	0.0394723125352	0.00228992097526	0.000115468472602	6.35941094813e-06	2.01803085796e-06
s	0.254565739691	0.676802602677	0.0649036108451	0.00350424299175	0.000202407920867	1.18256300494e-05	9.61506355265e-06
ì	0.11178328823	0.772734827559	0.109838753615	0.00519998549725	0.000410726340289	1.69894376831e-05	1.54460498509e-05
k	0.0409508976767	0.552258629186	0.307869147872	0.0539705199991	0.0176045603134	0.0235625064036	0.00378371639795
a	0.0152835554589	0.242160289729	0.545369069291	0.131830273333	0.0288019164378	0.0314585423679	0.00509628466598
l	0.00636295621963	0.10864544891	0.691649809764	0.152365521111	0.0216425791459	0.0170322920226	0.00230135732199
ò	0.00265162641654	0.0447850298033	0.605903669921	0.30957092037	0.0234812847153	0.0121997593009	0.00140770314066
e	0.00294513271551	0.0203047337678	0.334430639974	0.553838873457	0.0802287552384	0.0065293659603	0.00172249318022
n	0.00298527886884	0.0101674413659	0.221686049991	0.608689324486	0.122583133079	0.0289779505534	0.00491084139341
a	0.00582257558661	0.00360314351197	0.158191158197	0.620347961495	0.168506689026	0.0367787858511	0.0067497027978
è	0.00743496999554	0.00238195638399	0.053620721099	0.496828633832	0.360641129675	0.0500020922837	0.0290904965993
n	0.00315073344865	0.00191575851333	0.021750819533	0.340646277944	0.414500576558	0.158690118761	0.0593457001998
e	0.00252914359968	0.000832858009777	0.010729241141	0.245187409315	0.457314108853	0.202212906254	0.0811943413999
a	0.00269304499989	0.000604742656592	0.00368797705033	0.107202413772	0.597365119618	0.145037767418	0.1434089938
n	0.0012726652263	0.000364572254597	0.00128406873011	0.0494003325907	0.455459456539	0.309591387806	0.182627561267
v	0.000427854513067	0.000126309057132	0.000448011438703	0.0226994649969	0.205837100846	0.450792045935	0.319669207089
e	0.0127444463823	0.000153356338911	0.000206926974901	0.0099133050323	0.118456885615	0.335559058645	0.522966035696
k	0.0168552920028	0.00018512415497	0.000137374030634	0.00535901482743	0.0835577606383	0.442180199548	0.451725295232
k	0.00562415451897	0.00012279022699	0.000118016609211	0.00212033702581	0.0308804037128	0.536193386516	0.424940981744
i	0.0501053888157	0.002194123659	0.00101145440307	0.00402873117527	0.0138242135376	0.409478595505	0.519357560581
à	0.0711559892719	0.003251377853	0.00145741083436	0.00757011939176	0.0160146244125	0.370590638502	0.529959903527
t	0.029943175562	0.0014889078968	0.00068957504212	0.00563840824059	0.0149629765708	0.534077836167	0.413199157842
o	0.022335419992	0.0058295976114	0.00229953174471	0.0055181271902	0.0202301992903	0.479482192056	0.464304949281
</S>	0.029698212996	0.0109112853057	0.00425129987235	0.0081863460951	0.0322369761451	0.264230491028	0.650485409641
