 	io	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.770055145	0.214444105	0.01323478	0.0013732908754	0.00076996375	8.585379e-05	3.33070401375e-05	3.148465378e-06	2.717278915e-07	1.056815425e-07	4.9588005e-08
v	0.576121688333	0.182055988333	0.195136560333	0.0457999303087	0.000645770716667	0.000130647156667	9.52736584708e-05	1.3408783878e-05	3.57930554833e-07	1.23800029167e-07	2.63280693e-07
ò	0.231132611111	0.394757646111	0.311123973444	0.0619545815696	0.000737266332222	0.000158276632222	0.000116783533224	1.7731029326e-05	6.10294458278e-07	1.53404754722e-07	3.51440772667e-07
e	0.113613222704	0.45394275537	0.409789797815	0.0220797048732	0.000440368730741	8.6220533074e-05	4.00728634747e-05	7.10885078867e-06	4.63457812759e-07	8.20127719073e-08	1.59719971889e-07
n	0.0772098582347	0.269012305123	0.636293569272	0.0133345618411	0.00289841077025	0.000593956320025	0.000574329259825	7.76215075762e-05	2.92439974425e-06	1.18220885264e-06	1.24736899663e-06
ì	0.0793346460782	0.177916781708	0.723473573091	0.0125620540804	0.00494028719008	0.000904059010008	0.000756623002942	0.000104238131859	4.12146481475e-06	1.79632009421e-06	1.80238698888e-06
m	0.0639900946927	0.103308814236	0.636959997697	0.16018732416	0.0256292596634	0.00531210414	0.00321478935065	0.00114508227329	0.000123017444172	6.22694318414e-05	6.71902249863e-05
e	0.0353569085642	0.0420416007453	0.658255855899	0.214706666053	0.0356074018878	0.00787628114667	0.00423429096022	0.0015704531711	0.000167318262724	8.53828339471e-05	9.78031133288e-05
g	0.0194335209214	0.0179981472484	0.5379990353	0.381220950018	0.0299396839626	0.00676128314889	0.00535699816341	0.00109007043703	8.6531198908e-05	5.1762464649e-05	6.20137794429e-05
r	0.00738685444047	0.0076603722828	0.193160139767	0.636390850006	0.0933484946542	0.0223164760496	0.0359860497211	0.00333068244568	0.000159837582969	8.39330115497e-05	0.000176308939814
a	0.0125440472135	0.00994050096093	0.0710171628557	0.438276437335	0.291041681551	0.118050730017	0.0507944045737	0.00762740598189	0.000314081917656	0.000106496857183	0.000287055033271
m	0.0142108386712	0.0109689374203	0.0325647102186	0.307574699778	0.39957304385	0.154864045339	0.0688060528579	0.0104343186606	0.000448744222552	0.000189531985728	0.00036506143109
m	0.0056170480304	0.0092016182401	0.0173917513395	0.245230311859	0.47542634795	0.16503575378	0.072422806286	0.00862932788687	0.000454627840851	0.000199366563909	0.00039100799703
è	0.0273356635501	0.0386017984134	0.00647895887983	0.0953292058863	0.547284099317	0.23200585126	0.0432074584287	0.00880197212896	0.000458532480284	0.000155519556636	0.000340903695677
n	0.03455059861	0.0443370078111	0.00420576845994	0.226262085295	0.435808649772	0.18865224042	0.0528604504762	0.011832079543	0.000579538680095	0.000266244672212	0.000645312208559
a	0.01293667183	0.014929671167	0.00303336796331	0.256508651796	0.302210603257	0.326358813473	0.0613681468254	0.0203972678477	0.0011273602467	0.000284701217404	0.000844717656186
