 	non	sono	andati	</S>
e	0.777011525	0.2157497903	0.00689906385	0.000339619915
n	0.644130858333	0.345398513433	0.00936067261667	0.00110994637167
è	0.419670365111	0.568020171144	0.0103918692056	0.00191754122389
c	0.153769339037	0.803649457048	0.0349355127352	0.00764559387463
h	0.0757283473457	0.801321572349	0.104310677578	0.0186393576249
u	0.0429273587819	0.778369710783	0.148529462526	0.030173459875
n	0.0197476697606	0.761747616928	0.138093765509	0.0804109422917
e	0.0124252344202	0.502006058976	0.33491673317	0.150652010764
p	0.0101744444734	0.188199792659	0.458166987723	0.343458826921
a	0.0247516454911	0.0794451692197	0.484722029241	0.411081192307
m	0.0274137841637	0.0393724037399	0.460046886414	0.473166947436
è	0.0357543930546	0.0187811482466	0.298539688805	0.646924765812
n	0.0364648491932	0.0105224626889	0.485092866268	0.467919831937
a	0.0283286595727	0.00597923630297	0.475700320423	0.489991803979
</S>	0.0384004447863	0.00663477885148	0.251305977711	0.70365880199
