 	il	dito	si	gonfiò	</S>
o	0.575401945	0.422940533	0.00084053692	0.000467487085	0.0003494821315
d	0.520189655	0.473336504333	0.00463783108667	0.000493171818333	0.00134281647817
à	0.509592401667	0.424601341444	0.0571668440289	0.00433092477278	0.00430844472606
t	0.266974772222	0.511015743815	0.140684434676	0.0197429367576	0.061582097242
t	0.147637565741	0.339449942605	0.316450508225	0.0524773869192	0.143984609081
i	0.071999137647	0.409663605535	0.350045776075	0.0526189596397	0.11567253436
l	0.030129785949	0.445024798512	0.371412798692	0.0580239072132	0.0954086927867
o	0.016144962383	0.183040643171	0.646073732897	0.0652410677377	0.0894995790956
è	0.00580726379767	0.076647933057	0.692958030966	0.149477474579	0.0751093178652
p	0.00200312270089	0.033012238519	0.537341973655	0.28867312486	0.138969572622
r	0.00301273789863	0.0117438280397	0.383807347885	0.416753574953	0.184682514207
i	0.00448013313288	0.00672388771323	0.195175966962	0.635363191651	0.158256796402
m	0.00271842994429	0.00465547364774	0.0800378799873	0.584156863884	0.328431343801
m	0.000999531926763	0.00159312679041	0.0376830493024	0.293696861295	0.666027437934
è	0.0474042316876	0.0577858857613	0.0156864224075	0.207373393765	0.671750062645
n	0.0628836122739	0.0771181567204	0.0198691928025	0.367336631255	0.472792374215
o	0.0218470164693	0.0291708827068	0.0196367121675	0.343750968752	0.585594371405
</S>	0.0122302442346	0.0188733748534	0.0118351549337	0.186608321876	0.770452865703
