 	l'	ho	sentito	che	veniva	</S>
o	0.5039280485	0.4516063595	0.04110532589	0.003004087	0.00029753663	5.859741125e-05
n	0.181021548833	0.765783519833	0.0494889632967	0.00330593908667	0.000324455876667	7.55702130833e-05
ì	0.0692312161443	0.770333939944	0.129885471099	0.0263496435489	0.00395576649222	0.000243960637028
k	0.0483106682481	0.703844069981	0.193900750366	0.0419512388496	0.00828498616407	0.00370827093568
u	0.0413281656094	0.51600316666	0.239536083455	0.163150657283	0.0271486707214	0.0128332763119
s	0.0355288060631	0.24142285222	0.420115167818	0.242950319094	0.0345602322405	0.0254226604373
a	0.0353528316877	0.13089609574	0.373774502606	0.326160266365	0.0832774794135	0.0505388308124
k	0.0291507955626	0.06123257858	0.183951817535	0.450070545455	0.126333499805	0.149260765604
a	0.0288014475209	0.02431333386	0.100525329278	0.449025418485	0.227639386602	0.169695105201
è	0.014195013207	0.00940521548667	0.0360978178993	0.306766618162	0.507471308867	0.126064041734
r	0.00608278183567	0.00356321460889	0.0122856443898	0.113331912721	0.567469936289	0.297266500578
k	0.00318591731189	0.0015491944663	0.0044357960666	0.0478633743737	0.452079622096	0.490886080193
a	0.0315081250706	0.00972340750543	0.0024206517422	0.0180404392579	0.365534110699	0.572773260064
t	0.0415971142569	0.0122168384351	0.00164812745073	0.00779814755263	0.294254770233	0.642485000021
o	0.070306192319	0.0098248604117	0.00109487272024	0.00492460251754	0.299194640078	0.61465483334
</S>	0.11760489616	0.0134731792058	0.00133019966012	0.00504940805877	0.302249135039	0.56029319667
