 	qualcuno	al	telefono	vuole	sapere	dell'	Anna	</S>
k	0.890481515	0.1055057665	0.0036492177	0.000326482115	3.16753685e-05	3.6157229e-06	1.38004665e-06	3.6818882e-07
a	0.869562838333	0.126336838833	0.00388045373333	0.000198085351667	1.89701401667e-05	1.881822562e-06	7.8028294e-07	2.05360306667e-07
n	0.607629850444	0.378315599611	0.0127799927778	0.00114696650056	0.000118275923389	6.70851038267e-06	1.92847100333e-06	7.06406188889e-07
è	0.352946001148	0.625747466537	0.0196469625926	0.00149526894019	0.00015277700513	8.34792024756e-06	2.30914304778e-06	8.72551952963e-07
n	0.297251065716	0.573454622179	0.116436904531	0.0118998087534	0.000771130472377	6.13943935359e-05	8.83400387293e-05	3.6751914141e-05
a	0.142456052239	0.65697517406	0.18290177151	0.0163712364845	0.00104850338746	8.10026268453e-05	0.000117363659676	4.89018663803e-05
s	0.0497523662797	0.688737224687	0.228371570503	0.0299842223948	0.00284591605915	0.000172178927948	9.74209233253e-05	3.91143921268e-05
t	0.0183542597266	0.454181101562	0.418540363501	0.0940430474649	0.0127612965197	0.00145239974265	0.000343255124442	0.000324289824042
o	0.0123269833422	0.222381773854	0.643382591167	0.104795660822	0.0145725055399	0.00177283163755	0.000368495115381	0.000399155860681
t	0.0091826461474	0.109773165951	0.745657000389	0.119329571941	0.01388796888	0.00139227376918	0.00047538250236	0.000301983526227
e	0.00918210674913	0.0495644816503	0.756406953463	0.166171647314	0.01639737296	0.00147887132306	0.000518670652453	0.000279891260076
l	0.00914134416304	0.0263742172168	0.755712604488	0.186714329105	0.0187991049867	0.00164762250769	0.00122392763582	0.000386839084692
è	0.00401176053435	0.0165279495389	0.802606188163	0.157165257702	0.0163605119289	0.00146238260256	0.00145499752361	0.000410911670231
f	0.00227184476345	0.00703905157963	0.757861862721	0.195867387234	0.023985361243	0.00449620313419	0.00670980561954	0.00176841846541
o	0.00443395993982	0.00339329027988	0.54086576424	0.380132129078	0.0537389337477	0.00662057447806	0.00851168040985	0.00230361605514
n	0.00514087699527	0.00129754904929	0.37770738808	0.527556659693	0.0756599592492	0.00598936425935	0.00512222783995	0.00152594771838
o	0.00218295924709	0.000458624587097	0.214010100693	0.635999036564	0.127200363083	0.0143023154198	0.00413280364665	0.00171376580613
t	0.00119636327536	0.000173259841699	0.0772784920643	0.712370868855	0.173046694361	0.0241320038066	0.00768091008222	0.00412136983538
è	0.00170953071812	8.67948218997e-05	0.0310568203548	0.714687646285	0.199307991454	0.0366392066022	0.0104991277941	0.00601286514513
l	0.00193475000937	6.47305216332e-05	0.0234321539516	0.700160028762	0.198151380485	0.0421941442007	0.0245092783647	0.00955352458171
i	0.00086185675979	3.89472265444e-05	0.0201147849905	0.512407026254	0.344949910162	0.0808149867336	0.0285392168882	0.0122732381939
n	0.000449773862263	2.15648212481e-05	0.00684884136017	0.368626272085	0.471611570054	0.105428496911	0.0325680557294	0.0144453960646
a	0.000209014769754	1.28295684827e-05	0.00240025949339	0.282749295695	0.410405870018	0.244121410304	0.0371725235765	0.0229288146882
t	0.000130742484251	1.06505114942e-05	0.00083138682013	0.126898226898	0.366221836673	0.359678103435	0.0935395311922	0.0526895665627
s	4.7820226717e-05	5.0369704114e-06	0.000297267610043	0.0711581755327	0.249816895558	0.382129187812	0.177426803731	0.119118838854
è	3.7069316539e-05	4.24533781713e-06	0.000113209384348	0.0266433112109	0.199726988519	0.501310365937	0.14128543591	0.130879376285
r	0.000342528115513	9.83232937238e-06	0.000144454651449	0.0133721138703	0.280883059506	0.421448721979	0.18685769997	0.0969415774283
i	0.000494134788504	2.68776961241e-05	0.000176716413816	0.0077273740901	0.232586638835	0.387016123993	0.221327338657	0.150644774476
à	0.000360992432835	3.42490973747e-05	0.000109033699939	0.0029682371367	0.0951403610783	0.438048694664	0.186035018219	0.277303404825
t	0.000287171874278	1.92996409816e-05	5.47179096463e-05	0.0015296704189	0.0467802194928	0.313401268221	0.328601339406	0.309326301608
t	0.000136906431693	6.73785682053e-06	2.15600630821e-05	0.00100736687717	0.0295798163643	0.206325169407	0.488061993135	0.274860433869
i	0.000207489387498	3.37562535768e-05	9.0742209894e-05	0.00111789982992	0.0262495086548	0.214882619802	0.425523031045	0.331894934623
n	0.000241158092499	4.34893996923e-05	0.000114396706098	0.00115766030031	0.0249911675849	0.183343203267	0.447575297015	0.342533591541
A	0.00103747371417	7.46384250641e-05	0.000163517021499	0.00049507468377	0.00915018496163	0.0890615894223	0.549416552338	0.35060093718
n	0.00135368926806	8.44757107547e-05	0.0001805183905	0.000333473951257	0.00803596038721	0.0769437881408	0.502008370779	0.411059705727
n	0.000512651584187	2.84719118016e-05	6.16284975233e-05	0.000176738630252	0.0071861873424	0.0612526117136	0.513508956926	0.417272761909
a	0.000501542792896	9.28001764172e-05	0.000241943299864	0.000930217126584	0.00745270432747	0.0392638209045	0.401239803975	0.550277180636
</S>	0.000746173596448	0.000171227838209	0.000452839599932	0.00176896341329	0.0111148556637	0.0430608124523	0.257270529488	0.685414590318
