 	è	che	sono	usciti	</S>
è	0.72152078	0.2426358035	0.02942964126	0.00537194499	0.001041855795
n	0.497639803333	0.458789781167	0.0360988790867	0.00543609173	0.00203546999833
a	0.277345104444	0.557713513722	0.0656173406956	0.0787214096433	0.0206026575328
g	0.0991595252147	0.607613004574	0.163891793565	0.103362643281	0.0259730471109
u	0.0338030532716	0.447475694858	0.218099407855	0.285769284494	0.0148525413036
ì	0.0114206797572	0.158862884786	0.254899265952	0.371110151498	0.203706990101
k	0.0039467088524	0.0562074935953	0.225550138651	0.423380073833	0.290915585367
a	0.00423161401747	0.0218689165984	0.11751226355	0.490747071278	0.365640147122
n	0.00446481667249	0.00963913276613	0.12765549185	0.355852957093	0.502387615707
e	0.0405179162242	0.00525768192204	0.12265228995	0.276198929031	0.555373181902
</S>	0.0785064906121	0.00444732646102	0.072212393975	0.198409899516	0.646423870951
