 	e	che	cucino	</S>
c	0.83250103	0.14439900835	0.02113162	0.0019682859
e	0.56135741	0.28945372945	0.106963413333	0.0422254125667
p	0.243844886	0.28764305315	0.352009261111	0.116502802189
u	0.0830075514	0.24509516105	0.564180423704	0.10771687973
m	0.0309434526333	0.228795733683	0.634341477901	0.105919332243
a	0.0125784609611	0.134449465894	0.7488274493	0.104144626748
r	0.00509745783703	0.193436566631	0.634284309767	0.167181674916
è	0.00294516231234	0.197215697144	0.608943763256	0.190895363305
o	0.00209011693745	0.0682740072147	0.838509601085	0.0911262367683
</S>	0.00215282246873	0.0370612384574	0.887612720542	0.0731731593842
