 	che	non	li	aspetiamo	</S>
n	0.9235812	0.0754771835	0.00073452267	0.000140179115	6.687099e-05
a	0.895002166667	0.0875342235	0.0171128854033	0.000238229908333	0.000112420636667
m	0.663998288889	0.2337504145	0.100139489801	0.000997624636111	0.00111411218556
i	0.327701816863	0.345081904833	0.3240050566	0.00161382454537	0.00159735876185
t	0.123084890188	0.454763634944	0.410497495533	0.00363006764846	0.00802392465395
u	0.055547959396	0.379590424981	0.546438611844	0.00649954521615	0.0119234695513
s	0.0281469684653	0.15388280166	0.725877217281	0.0127270007387	0.0793660155171
m	0.0175805689884	0.0794006378867	0.49816339576	0.0556777879129	0.349177611839
ì	0.0087251136628	0.0732265132956	0.42752412192	0.105355199304	0.38516904328
n	0.00616254575427	0.0699599124319	0.57424524064	0.129994203101	0.219638087093
o	0.00509600795142	0.032333190344	0.410998240213	0.3275737777	0.223998742364
m	0.00610174365047	0.0321219533147	0.159301545738	0.4020344859	0.400440227455
e	0.0987325995502	0.0941298027716	0.063146986246	0.2360723053	0.507918289152
</S>	0.191405284775	0.144043626386	0.038417291123	0.18068287765	0.445450914576
