 	non	sapeva	dove	a	stare	</S>
e	0.91319455	0.0840436497	0.002520127895	6.38041179e-05	0.00015201342828	2.590142565e-05
n	0.625550683333	0.3695298999	0.004639593065	9.62001613e-05	0.000155167584093	2.85088598833e-05
ì	0.254244534278	0.738944066633	0.00663417802167	9.41698057667e-05	6.14029256977e-05	2.16696869611e-05
s	0.143858311259	0.832384955544	0.0209234190072	0.00115155857192	0.000940714921566	0.00074105806232
s	0.12688861542	0.835194951848	0.0335964096691	0.00178642950397	0.00143480897386	0.00109885834744
e	0.0639280108067	0.723987470616	0.19971995989	0.0106247154813	0.000810570257953	0.00092934614248
r	0.0377389002689	0.514048730205	0.379828653297	0.0545178681604	0.00613039641932	0.00773546841416
e	0.032484035423	0.325649976735	0.505368804432	0.11005302272	0.00913890047311	0.0173052791381
p	0.0533886794743	0.156097513912	0.593674488144	0.157762277573	0.015275548491	0.0238015167127
u	0.216020724825	0.0805016886373	0.413899672715	0.211832405858	0.0265142141637	0.0512313012376
n	0.231958981975	0.0353936780458	0.232959057572	0.341476768619	0.0622160280546	0.0959955004125
a	0.0813446053583	0.0135533738486	0.141558256191	0.528364056206	0.0789743760182	0.156205356804
s	0.0308382942761	0.00528023683953	0.0528036357303	0.564616438735	0.154230705339	0.192230698935
t	0.0105637809154	0.00184344326218	0.0204466974834	0.481750626245	0.250009675113	0.235385769645
a	0.00594145280513	0.00077378451306	0.0069703638278	0.319078322082	0.183636521038	0.483599573215
s	0.00425550897138	0.000418265372687	0.00237068876193	0.185784740694	0.235675136346	0.571495684405
ì	0.0663959598601	0.000210319515896	0.000823125649977	0.122827401331	0.334158642115	0.475584554802
</S>	0.13065248993	0.000205165042948	0.000434079329989	0.0651000123155	0.310078536058	0.493529727401
