 	si	è	rotta	la	coppa	</S>
e	0.789713	0.17954467835	0.02767773105	0.001730064745	0.00047045828625	0.000864042331
g	0.526954123333	0.38267645945	0.0865573930167	0.00216596004833	0.00055425777875	0.00109176039767
l	0.248273829111	0.595510096483	0.135924271006	0.00741209281611	0.00143391950958	0.0114457718659
à	0.088057805537	0.585740655494	0.259010093669	0.0478711419387	0.00304758773653	0.0162726960553
s	0.0300902209023	0.348480785165	0.365477764556	0.0848756006462	0.137185696146	0.0338899361184
t	0.0103046053641	0.153516316388	0.518270954852	0.0682522232154	0.181625901949	0.0680300520395
i	0.0041854912947	0.0615050130293	0.686627184951	0.117780180738	0.075740488883	0.0541616800132
e	0.00260211009823	0.0224302274331	0.483286906984	0.293266093579	0.178208597961	0.0202060759044
c	0.00348019036608	0.00909118800103	0.197552857661	0.278463414526	0.20098863432	0.310423738535
ò	0.00415505812203	0.00455912767701	0.081796369887	0.410976834842	0.0886747031067	0.409837899845
p	0.00228175183734	0.00161451765734	0.0307947783623	0.457367970281	0.268075324369	0.239865613615
p	0.00131781784245	0.000591456284113	0.0113674945541	0.16835011176	0.345980851456	0.472392214538
a	0.184949315714	0.0088972154047	0.018819560218	0.0637876525867	0.185395459152	0.538150741513
</S>	0.368414957857	0.0174267852023	0.031174442109	0.0401668847933	0.142153927576	0.400662950757
