 	vuole	pianto	</S>
i	0.973614765	0.02286734712	0.00351788645
t	0.983622731667	0.01074885012	0.00562848055
è	0.985024610556	0.00677491940667	0.00820052618333
l	0.835210203519	0.107634397169	0.0571554453944
i	0.763037011173	0.153062051056	0.0839009751315
k	0.565964596391	0.318300272352	0.11573513171
l	0.19192897403	0.674414960784	0.13365604657
a	0.0668405096767	0.849745606928	0.0834138815233
m	0.0275545659922	0.823693888976	0.148751563841
m	0.0121206156841	0.503606990959	0.484272407947
è	0.00655954734803	0.17789041162	0.815550035982
n	0.00457896507601	0.399785277207	0.595635728661
o	0.0232655722187	0.468284547736	0.508449859554
</S>	0.0441735661093	0.240230856868	0.715595579777
