 	non	sono	ancora	vestita	</S>
e	0.631302445	0.18049329835	0.1879101594	0.0002745053065	1.95516015e-05
n	0.404800741667	0.40294289945	0.191931612133	0.000286221691167	3.85408285e-05
ì	0.240398475022	0.676289379817	0.082883139711	0.000254663826056	0.0001744013895
m	0.0932551261407	0.826554106606	0.074261583237	0.00277224794869	0.0031570154365
e	0.0424227101802	0.601539385535	0.347132391079	0.00450721654956	0.00439835851217
a	0.0144244494934	0.246517837178	0.713202217026	0.0217403258499	0.00411521740406
n	0.00880432946447	0.108748396059	0.841948672342	0.0319655262833	0.00853308666802
k	0.0114205631548	0.0611434785863	0.702557814114	0.0560144517611	0.168863666889
ò	0.00953831071827	0.0257802754288	0.442792524705	0.208464059254	0.313424782296
r	0.00440008662609	0.0118861705429	0.556401054902	0.225629807085	0.201682843532
a	0.0035696441287	0.00623644458097	0.568642091634	0.314752389695	0.106799423944
e	0.0043344002429	0.00596532376032	0.271621448545	0.593096073232	0.124982734648
n	0.00269958288097	0.00405749426677	0.165433134182	0.609809654411	0.218000094883
d	0.00104899631199	0.00155547129726	0.105725415394	0.406230524804	0.485439554961
i	0.0375124466557	0.00101069189409	0.038491066798	0.452861561601	0.470124189987
m	0.0515514515519	0.00228191149803	0.0349918899327	0.482003160534	0.429171551662
è	0.0624839765173	0.00605527733268	0.0739898666442	0.377785550178	0.479685293887
n	0.0642547295324	0.00592406756423	0.0776238128814	0.520780973393	0.331416384629
i	0.0468238605375	0.00425941254141	0.0362803894938	0.432278251131	0.480358054876
</S>	0.0614868752687	0.00545613112071	0.0191208115469	0.248650865565	0.665285277438
