 	l'	ha	scritta	</S>
t	0.88640765	0.107627701	0.00348298206	0.0024816596
o	0.558005045833	0.432846910333	0.00589223362	0.00325587063333
è	0.189504298528	0.799971590111	0.00517425784	0.00534996111111
g	0.173742973593	0.75524336337	0.0438474534467	0.0271662787037
r	0.203209642864	0.604664701123	0.144632794482	0.0474928785679
a	0.103092078755	0.414798502708	0.435031498161	0.0470779485226
t	0.0361815866183	0.178636373236	0.591985666054	0.193196419508
s	0.0253868344394	0.087769300412	0.376478685351	0.510365193169
e	0.0375498441465	0.0510631961373	0.288833245117	0.622553711056
</S>	0.0446164040733	0.0466078830687	0.343777902558	0.564997825528
