 	se	si	era	vestita	la	mia	figlia	l'	avessi	portata	alla	chiesa	</S>
a	0.4680989005	0.4816151425	0.0487718839	0.001494867178	1.5982546e-05	2.2461024e-06	7.6757064e-07	1.53677185e-07	8.6978586e-08	1.032783585e-08	4.0765252e-09	5.93387585e-09	1.25992497e-08
n	0.1645577345	0.722132834167	0.110188154633	0.002923973126	0.000151575953667	3.01947676e-05	9.88028894667e-06	4.05742920833e-06	1.47811540867e-06	1.42677907283e-07	2.88063065e-08	1.29562056167e-08	1.67205455667e-08
ì	0.0578935313333	0.579037341389	0.342296624878	0.0199490171087	0.000681424761222	0.000120421772533	1.36975403156e-05	5.68668653611e-06	2.06520128956e-06	1.94154032428e-07	3.60077530333e-08	1.19569426722e-08	1.11139092556e-08
c	0.0406825262778	0.41437175713	0.513266241626	0.0301316983696	0.00116410268707	0.000294402954178	5.39118057719e-05	2.0200610312e-05	1.10623151499e-05	2.57468134748e-06	8.30772563544e-07	5.49989539024e-07	1.75878410485e-07
h	0.0522051207593	0.430043442377	0.488942820542	0.0252387471232	0.00230364082902	0.000771197738059	0.000303893868591	0.000130656636771	4.46117103833e-05	1.07049035492e-05	3.32956272118e-06	1.38232601301e-06	4.36707876828e-07
a	0.0349224701664	0.286861313459	0.611481913514	0.0628173630411	0.00255674477634	0.000800421859353	0.000346636182197	0.000150906571924	4.62402700611e-05	1.10235611697e-05	3.37646068839e-06	1.133759451e-06	4.03420082276e-07
n	0.0118185046821	0.10407875082	0.783454037838	0.096693854347	0.00274857562545	0.000701304499784	0.000327776850066	0.000120641486975	4.7929413287e-05	5.99680217657e-06	1.57670487746e-06	6.16466907e-07	3.74500460759e-07
d	0.0110900896074	0.04280185694	0.576679179279	0.199104938116	0.124353789408	0.0275172182666	0.01002089043	0.00617057223233	0.00153015086776	0.000446916354859	0.000161937522292	6.5200395279e-05	5.72339948203e-05
ì	0.0108903636225	0.0163054564467	0.230782305093	0.483170332705	0.192612899803	0.0416317154222	0.0134010408767	0.00823147357744	0.00200148152959	0.00059502434862	0.000215197450264	8.65292172817e-05	7.61866375734e-05
s	0.00403854879417	0.00784229028223	0.251349923698	0.589802804235	0.110705167601	0.0253362778074	0.0063699482589	0.00317019684248	0.00100277961686	0.000235900179873	7.7507287588e-05	3.73323739492e-05	3.12998988245e-05
o	0.00196725793139	0.00487003621074	0.244100154233	0.555253378078	0.159802296867	0.0263348799358	0.0052333219863	0.00157296382083	0.000675967332287	0.000120065999624	3.18416034627e-05	2.10332930031e-05	1.67653981415e-05
n	0.00115263311046	0.00206688126025	0.105400127744	0.614383992693	0.220070655622	0.0388574373119	0.0128712339954	0.00342036566361	0.00154421263743	0.000156479839541	3.07715874209e-05	2.60598583544e-05	1.91407742472e-05
t	0.00347550200349	0.000885789000083	0.0565225803147	0.449462590898	0.326117298541	0.093177879104	0.0434681569985	0.0198762598879	0.00574641381248	0.000838648579847	0.00019416219914	8.50562711181e-05	0.000149676804749
a	0.0064177825345	0.00133506007336	0.0193838350049	0.184360068299	0.539443799514	0.164251039701	0.0526028463328	0.0246432369626	0.00602893183749	0.00103150478328	0.000232750036047	8.62505565727e-05	0.00018287901225
i	0.00688772437817	0.00171947345779	0.0069183925883	0.0719836899997	0.589909746505	0.259521203234	0.0416924027776	0.0167833653209	0.00348321307916	0.00088164461776	0.000113002838349	3.04161025909e-05	7.570238875e-05
k	0.00678375312606	0.00174885388593	0.0035168385161	0.0473811672332	0.532192928835	0.293095964411	0.0727527142592	0.0289805167736	0.00968852259305	0.00221128917259	0.000576927522783	0.000685841495064	0.000384672916917
i	0.058498654042	0.00356217962864	0.00235896927337	0.0380682126111	0.476396256278	0.29963676147	0.0776320137531	0.0287078959245	0.010779081351	0.00227410674086	0.000704435455928	0.000903659619488	0.000477770167472
a	0.074629569814	0.00337854226288	0.00084438908579	0.013465742037	0.336575512093	0.44918304049	0.079861990251	0.0292331599748	0.009327071937	0.00262121249695	0.000369062760309	0.000308018214629	0.000202684654324
t	0.026307073038	0.00123408193963	0.00030398714293	0.00469928265567	0.188544230698	0.50002664683	0.171329263417	0.0688911899916	0.0288534006457	0.00654984949898	0.0016121332801	0.000888238458543	0.000760612588108
è	0.028713875646	0.000552570718543	0.000108492284643	0.00170241453922	0.105224982233	0.496135738943	0.227377441139	0.0875153949972	0.0403649182152	0.00806503449966	0.0021495851267	0.00111019835618	0.000979345976036
r	0.029071083589	0.000343621802848	8.89659775477e-05	0.00227764795707	0.121370709411	0.509708829648	0.208741903713	0.0723635989991	0.0425014940717	0.00810213349989	0.00193949747557	0.00233131122206	0.00115920810535
a	0.0103591076367	0.000232090480949	9.28483835159e-05	0.00247661940236	0.12071094247	0.414205069883	0.261648094571	0.125636218666	0.0463510163572	0.0122078261666	0.00201798675852	0.00273724168069	0.00132494305178
