 	vogliono	girate	</S>
t	0.9152727	0.071689796	0.01303747825
è	0.92063245	0.0666406163333	0.0127269244167
l	0.786226093333	0.147044651444	0.0667292314722
u	0.729324991111	0.185174472148	0.0855004933574
n	0.72014639037	0.207807825716	0.0720457573191
e	0.41505959479	0.515779175239	0.0691612390064
v	0.164007461597	0.625446348413	0.210546182902
o	0.0716237553323	0.666004872804	0.262371355634
t	0.0257227077441	0.789983890935	0.184293373211
i	0.011452261748	0.820898496978	0.167649208404
m	0.006479927516	0.685944098993	0.307575960135
m	0.00289703263867	0.345757656998	0.651345286712
è	0.00268004391289	0.145534593999	0.851785328904
n	0.0031154252043	0.379164815666	0.617719724968
e	0.00617019780143	0.463544186889	0.530285606989
</S>	0.00995532290071	0.257617715945	0.732426978495
