 	l'	ho	sentito	quando	veniva	</S>
t	0.85528355	0.13784806715	0.00376048247	0.00304849169	3.457961e-05	2.494013635e-05
o	0.528146727	0.443317115717	0.0222325496233	0.00610905856333	0.000152614043333	4.20091107833e-05
n	0.183936423667	0.765918105239	0.0433364778744	0.00653218212111	0.000211937911111	6.49032915944e-05
ì	0.0649314151057	0.759084468413	0.154570441291	0.0209089596404	0.00042425720037	8.04863471981e-05
k	0.0453450099186	0.562400989471	0.237634387097	0.151342486547	0.00127372306679	0.0020034261524
u	0.0387596609729	0.35169674649	0.330282435699	0.274888355516	0.0014984998356	0.00287431412747
s	0.0280944193243	0.190393802163	0.425096968566	0.341161621839	0.0021493929252	0.0131038244525
a	0.0258055039081	0.096261011721	0.283720117522	0.557963960613	0.0140467634751	0.0222026664842
m	0.0236489631027	0.041758601907	0.121271861174	0.661913700204	0.0248401324917	0.126566719161
ò	0.0220607375676	0.0253491493023	0.0587957727247	0.696095090068	0.0351908948306	0.162508312054
t	0.00783648845853	0.0172975235441	0.0306915852416	0.810174516689	0.0352063546102	0.098793478018
t	0.00317377275551	0.00581080330137	0.0152139194139	0.63851869223	0.139644336537	0.197638447673
e	0.00715398045184	0.00336002977712	0.0055763481913	0.30816542641	0.418904538846	0.256839692558
è	0.00845364838395	0.00257837723571	0.00200606028143	0.11920280747	0.664420842949	0.203338260853
r	0.00337015972965	0.0010181288219	0.000790085658143	0.0510748888233	0.607385844316	0.336360873618
k	0.00139617197822	0.000903042673967	0.000517885192714	0.0258031436411	0.453158561439	0.518221191206
a	0.0192926750261	0.00614707285799	0.00123991640424	0.010354477747	0.328291788813	0.634674087069
t	0.025390034842	0.00746276585933	0.00134683373808	0.004553280339	0.249330951271	0.71191617569
o	0.0379656937807	0.00761966752644	0.00143080804936	0.00212186603633	0.292118563757	0.658743431897
</S>	0.0626590568904	0.0114748047632	0.00217700097468	0.00193364401816	0.305063271879	0.616692240949
