 	aveva	lavorato	tutta	la	settimana	</S>
ì	0.9730787	0.0268254025	8.8009605e-05	5.29785485e-06	2.06370168e-06	4.7425658e-07
c	0.921584613333	0.0753250528333	0.002742257175	8.411057885e-05	0.000179741377613	8.41605547467e-05
h	0.910186304444	0.0854983809444	0.003848816615	0.000112286956717	0.000241731508371	0.000112417273449
e	0.639353727481	0.351693373648	0.00875027476167	7.31968326723e-05	8.6595423957e-05	4.27948815163e-05
p	0.227356477827	0.742169774549	0.0287382542539	0.00119182839422	0.000351736966652	0.000191892762339
o	0.080611410609	0.877718191516	0.038863106418	0.00211329659807	0.000446937119551	0.00024707543178
l	0.0316684763363	0.889928963839	0.0712656421393	0.00506007829936	0.00137753500385	0.000699378854927
e	0.0136306595788	0.901532354613	0.0763244865464	0.00593329459979	0.00171945735462	0.000859749218309
m	0.00833440162627	0.899300218204	0.0862011280155	0.00411844903326	0.00133826323821	0.00070751637277
ì	0.00756354930876	0.810173526068	0.160794552672	0.0171896016778	0.00278132484607	0.00149744479092
s	0.00631138525292	0.755662008689	0.211277574224	0.0206719530259	0.00438582528202	0.00169122983031
o	0.00640796423431	0.52057712223	0.455349271408	0.010813002142	0.00529522576067	0.00155738547677
n	0.0064363546281	0.19958871341	0.761101013803	0.020016880714	0.00975538792022	0.00310164932559
t	0.00267494702603	0.0741251306367	0.729210437934	0.117580723571	0.0388170709734	0.0375917024419
a	0.0293687786087	0.0264606404789	0.615169025978	0.211901847857	0.0572090236578	0.0598906674806
ò	0.0408502702029	0.00925778649297	0.627423355326	0.190383762619	0.0732572545526	0.0588275391602
l	0.0166231783733	0.00332562654766	0.608243218442	0.190538390873	0.124058148184	0.0572114430534
i	0.0123648204301	0.00125236415922	0.384624361147	0.359022210291	0.147724606061	0.0950116743511
t	0.0109618260967	0.00043826267774	0.166093628716	0.510836960097	0.166814898687	0.14485442145
i	0.00538849685223	0.000158413142913	0.0906303301653	0.528233886699	0.154867519562	0.220721313817
n	0.00352277731741	6.23694948043e-05	0.0319228784818	0.510047962233	0.156097239854	0.298346737939
a	0.0029202176058	3.42340281014e-05	0.0122872446806	0.437112404078	0.164379086618	0.383266802646
d	0.00279999158193	2.64064290338e-05	0.0049891000802	0.285833624693	0.287252458873	0.419098424215
d	0.00103935157998	1.31501829446e-05	0.0025449959374	0.125227626898	0.473016252958	0.398158621405
o	0.00184706519933	8.49075258153e-06	0.0009104679998	0.0520433916327	0.522096404319	0.423094187135
m	0.00214151704311	7.44126069384e-06	0.000484412103267	0.0306904558776	0.53620372144	0.430472455712
à	0.034090863991	0.000150408610398	0.00158800626109	0.0265957776259	0.469319573813	0.468255378571
d	0.0461057911637	0.000318513020133	0.00207152734036	0.0204978568753	0.570027867938	0.360978499524
a	0.0254066222212	0.000671605706711	0.00167892446679	0.0495342842918	0.513320362646	0.409388273175
</S>	0.0256723041106	0.00100151225336	0.00193992848339	0.0870997501459	0.289633326323	0.594653236588
