 	mi	si	gonfiò	il	dito	</S>
m	0.49770701575	0.4928321075	0.009222055255	0.0001763910105	3.53444385e-05	2.70734575e-05
u	0.170082059517	0.701472395833	0.090382587085	0.0349924650935	0.00239683260117	0.0006736500135
b	0.061707829939	0.476474975278	0.396851475695	0.0596452526978	0.00370689053372	0.00161356907117
r	0.0304454599797	0.411048005093	0.510572611898	0.0433732135659	0.00277998781124	0.00178071115706
i	0.0174631465599	0.384638445031	0.558198690633	0.0363812628553	0.00207824825041	0.00124019770569
s	0.00830255528663	0.324907161677	0.620085250211	0.0374383252851	0.00772697123014	0.00153974018856
t	0.00562862919554	0.282652732892	0.569405336737	0.115005406095	0.02123122741	0.00607666669619
ì	0.00250973065851	0.0984887526307	0.486108752246	0.377448788698	0.02238711847	0.0130568492321
o	0.0010895550695	0.0336530314436	0.235529245882	0.413005429566	0.297388462823	0.0193342860774
d	0.00369992017983	0.0125339244812	0.0854738527607	0.311369036522	0.519926200941	0.0669970823591
à	0.00469872595994	0.0055871281504	0.0365007589202	0.495979318841	0.32974413698	0.127489947453
t	0.00189353238831	0.00218934112147	0.0151498116401	0.46691416628	0.348014478993	0.165838669151
t	0.000950009364437	0.000749952932157	0.0059663390067	0.246290105427	0.375015312998	0.371028289717
i	0.00234529585481	0.000571596504386	0.00210874852223	0.127510270676	0.465579267666	0.401884873239
l	0.0029283541516	0.000665695398129	0.00298965636741	0.0442459232587	0.533921445889	0.41524899108
o	0.188022047584	0.0108284222127	0.00370063482247	0.0167291299196	0.276942650296	0.503777147027
</S>	0.373928443792	0.0210819531063	0.00251228126124	0.0101940669598	0.165287292648	0.426995963513
