 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
e	0.65476944	0.33084529	0.01406000175	0.00030059393	1.72796855e-05	6.96937567e-06	3.06235998e-07	6.96574185e-08	1.11621008e-07
n	0.385824056667	0.576155296667	0.0364872705833	0.00139148055667	0.000122533686167	1.87125842233e-05	4.66716612667e-07	8.39795795e-08	1.41940749333e-07
è	0.192704770222	0.704216552222	0.0984282335278	0.00436791485222	0.000263040685389	1.89406695411e-05	4.39173244222e-07	6.23592218333e-08	9.3353827111e-08
n	0.0984931614073	0.735322857407	0.159157947843	0.00629732295074	0.000534631868463	0.000183927391314	6.21384438807e-06	1.50799044594e-06	2.4781974197e-06
a	0.0630062168024	0.521431662469	0.398822035948	0.0139276033169	0.00252394652282	0.000270215737105	1.23666581294e-05	2.28799638198e-06	3.68555830657e-06
m	0.0273765106008	0.247021650823	0.697739878649	0.0224907457723	0.00432656050761	0.00102471397237	1.44926220431e-05	1.64816626066e-06	3.78209576886e-06
i	0.0144350640669	0.123050523608	0.738497492883	0.109502189924	0.0130384898359	0.00143899862412	3.0149041681e-05	2.07044412022e-06	4.98157192295e-06
l	0.0060374302223	0.0493305962027	0.641639197628	0.236256446641	0.0504971702786	0.0159191705747	0.00020947713056	3.49834683734e-05	7.54749129743e-05
ì	0.00462729474077	0.0236230264009	0.610105399209	0.27582255888	0.0644111617595	0.0209572039916	0.00030654396352	4.70314258911e-05	9.97532331581e-05
s	0.00343244023026	0.0169425408003	0.70602578307	0.223808394293	0.0386927462532	0.0106129404639	0.00026704919784	7.50230317304e-05	0.000143062349886
i	0.00178112946009	0.0131438269334	0.602684344357	0.255575039431	0.115343559418	0.010650352488	0.00049392098928	0.00012054569391	0.000207246056629
m	0.00159230735336	0.00687526971113	0.298054907119	0.330800496477	0.254274133139	0.105934761163	0.00154992022976	0.00028253329797	0.00063563853221
b	0.00125308135112	0.00295390396904	0.106954586906	0.309880472159	0.429714681046	0.144726515388	0.00254982364325	0.000550845799323	0.0014160743774
r	0.000786905283707	0.00104756000168	0.036778570502	0.350298797386	0.513962150349	0.0891946951293	0.00376228074775	0.00106642836644	0.0031026217258
ò	0.0133705278279	0.00860515401389	0.0207230905007	0.297762423795	0.524554016783	0.11894594671	0.00944301524925	0.00211868215548	0.00447711857527
s	0.0174707889117	0.0110775445314	0.0144513100536	0.181386909265	0.487479598928	0.25036927557	0.0196108527497	0.00634443431849	0.0118092678584
t	0.00583223800032	0.00369564908373	0.00493876383487	0.115944295188	0.356871166309	0.451436131857	0.0303126165832	0.0102212824395	0.0207478792861
i	0.0163211157274	0.00331828207441	0.00200447334196	0.0405888661627	0.23705953077	0.562843277286	0.0919158721944	0.0159056121465	0.0300429834287
n	0.0198106499963	0.00319207425764	0.00102565982999	0.0139167433459	0.11645070559	0.689675825762	0.107441908731	0.0175955580488	0.0308908874762
A	0.324386748086	0.00172173441871	0.000361173981663	0.00468405563363	0.0483653481533	0.542959263254	0.0499905772437	0.0106002146829	0.0169309084921
n	0.425910830939	0.0012331136698	0.000155477206221	0.00301032853788	0.0515796056744	0.450385409085	0.0398559787479	0.010911638561	0.0169576624974
n	0.141971330341	0.000413650071133	7.1199447407e-05	0.00244965596263	0.0535764634248	0.595786089695	0.101462052916	0.039944884187	0.0643247408325
a	0.0542851028982	0.000546095274678	0.000138166954469	0.000947780227543	0.0198285822083	0.391828629898	0.265014547639	0.108108418062	0.159302683611
à	0.0263922359661	0.000681436151559	0.00020785143149	0.000590678085848	0.00792774636943	0.147563461966	0.35967204588	0.183540189354	0.27342432787
t	0.0101344903012	0.00032081826332	0.000119965972163	0.000360068224283	0.00302487268314	0.0990945459887	0.31222193196	0.248649739785	0.326073565957
s	0.00337967400777	0.000109164224707	4.26607353877e-05	0.000129180892928	0.00106356381438	0.0793215766629	0.262671913987	0.332252769928	0.321029485319
e	0.00349217126412	0.000226537942369	0.000186097058129	0.000525710973476	0.00260408763146	0.031344707221	0.207116937996	0.388432663309	0.366071095106
t	0.00353346903537	0.00026995929979	0.000236139716376	0.000657987009059	0.00312183540082	0.0180405807403	0.144571819332	0.41011369777	0.419454531702
ù	0.00476619329246	0.000298891502263	0.000258617352459	0.00105425675425	0.00153788579061	0.0124439620134	0.087246049444	0.50620216259	0.386191977234
o	0.00822131676415	0.000514806334088	0.000465371434153	0.00175425235142	0.00146705349687	0.00558612837113	0.0429744554813	0.54873122753	0.390285352411
</S>	0.00868419888208	0.000573593217044	0.000535192117077	0.00173065532571	0.00143341054844	0.00427238008557	0.0332660817407	0.511864403765	0.437640026206
