 	che	vende	buon	pane	</S>
k	0.908019625	0.0154240225	0.076077835	0.0001732102375	0.000305237615
a	0.775378575	0.106462214167	0.117599068333	0.000336698160833	0.000223390331667
i	0.437281149867	0.335482351389	0.214193646111	0.0120460964203	0.000996723543889
p	0.164491285822	0.52618401713	0.19974402337	0.0292827921401	0.080297883048
u	0.0728450209407	0.69474710571	0.0958496541233	0.0290932520467	0.107464952349
l	0.0346383426469	0.600133541903	0.0490922335078	0.0468289603489	0.26930687545
ì	0.0228866482156	0.312424963968	0.0201075659693	0.110292285116	0.534288511817
t	0.0092015739252	0.176901421323	0.111140566323	0.139616039705	0.563140357272
s	0.00326031733007	0.0777694875743	0.139940818511	0.180178311235	0.598851002424
o	0.00343322077836	0.0291149333248	0.0534047975737	0.424779553745	0.489267450808
m	0.00432859749279	0.0128366036416	0.0244251416549	0.462038284582	0.496371350269
ì	0.0154870538976	0.0163194960805	0.045765004682	0.309241028194	0.613187406756
k	0.0183663449242	0.0171893304055	0.0530903213273	0.325380386065	0.585973625585
a	0.0176597605997	0.00771495861383	0.156394150209	0.248402780022	0.569828335195
l	0.0181069484332	0.00478391376128	0.190801015936	0.185862854674	0.600445238398
ò	0.0113961150444	0.00563637871043	0.314954664512	0.143688185325	0.524324626133
</S>	0.0126876135222	0.00848555835522	0.534217482256	0.0744498133125	0.370159483067
