 	entrò	da	qui	</S>
m	0.965978965	0.0291822289	0.00244675875	0.00239212845
b	0.873201788333	0.105941942967	0.0121749423833	0.00868137901667
ì	0.537235949111	0.382229914322	0.0603759697944	0.0201581873389
k	0.20854224937	0.458363574774	0.159655673265	0.173438494446
e	0.09105639297	0.323005198258	0.366257924422	0.219680509815
a	0.0305160561033	0.296266829419	0.571965491474	0.101251638272
p	0.0107238899344	0.22917299314	0.495690437158	0.264412676091
ò	0.00420039897813	0.132794408713	0.512226692386	0.350778498697
t	0.00165970898604	0.0527831649043	0.638335954129	0.307221149566
t	0.00062587326068	0.0203514921348	0.57105916471	0.407963459855
u	0.0157899817256	0.0145062532116	0.379959369903	0.589744403285
</S>	0.0312231958628	0.0181193011058	0.230040987452	0.720616526642
