 	non	so	cosa	scrive	</S>
e	0.86662085	0.097247667	0.0355612967825	0.000510222883	5.99755105e-05
n	0.757626363333	0.205052309	0.0366180524608	0.000580714451	0.0001225687735
e	0.482441241111	0.221708713	0.29007117102	0.00534595874033	0.0004329186545
t	0.219346117037	0.327926847667	0.43832381034	0.0110646539134	0.0033385309515
s	0.158377765679	0.394703082556	0.346775473447	0.0587501933045	0.0413934453172
è	0.0918453202263	0.231002190852	0.541549754482	0.0805157027682	0.0550870217724
r	0.0397014900754	0.308624760284	0.554352764827	0.0588253392561	0.0384956595908
o	0.0178073986918	0.315152658761	0.524099688276	0.0874439830854	0.0554963021969
t	0.00913199469727	0.11275771092	0.662751129425	0.117194324362	0.0981648407323
i	0.00744684103242	0.0419980359733	0.475109964475	0.345782741454	0.129662413577
g	0.00721777821081	0.0167232274578	0.275763686158	0.490889090485	0.209406221192
r	0.00478106208027	0.00740227948927	0.188410414419	0.354573410162	0.444832800397
à	0.00347514573676	0.00259290540976	0.066049693173	0.447771040054	0.480111223466
f	0.00300715018992	0.00100628328992	0.0348232790577	0.624519536685	0.336643781155
i	0.024492859441	0.00119323153997	0.0225493032859	0.515399112228	0.436365477052
</S>	0.0474772697205	0.00184846576999	0.0120764640429	0.380139521114	0.558458238526
