 	vuole	pianto	</S>
e	0.973583325	0.02286932826	0.00354728155
t	0.984060258333	0.0106016335933	0.00533804998333
è	0.985552252778	0.0065766712211	0.00787100832778
l	0.835465450926	0.107072306097	0.0574621941093
i	0.764131616975	0.151803576699	0.0840647860364
k	0.567158364658	0.3161856169	0.116656006679
l	0.192316978953	0.672357155633	0.13532586656
a	0.0669408352177	0.849273845211	0.0837853521867
m	0.0275487519059	0.824437591737	0.148013683062
m	0.0121130313353	0.504319969212	0.483566994354
è	0.00656401781177	0.178209395037	0.815226564785
n	0.00458688440392	0.399959055012	0.595454062128
o	0.0233381236013	0.468357788004	0.508304111243
</S>	0.0443149218006	0.240294563502	0.715390530622
