 	siete	cucinato	</S>
ì	0.85209392	0.1095790492	0.0383269727
s	0.75454214	0.1337700164	0.111687814233
e	0.50927081	0.193156692133	0.297572524744
s	0.199889191667	0.318676600711	0.481434218248
t	0.0891920805557	0.465281340237	0.445526572749
a	0.0457524078952	0.659685186746	0.29456238425
m	0.0167627945751	0.685004472249	0.298232711417
a	0.0090996200917	0.689347244083	0.301553147139
r	0.00555391933057	0.605275988028	0.389170119046
à	0.0132061930769	0.376300926009	0.610492889682
t	0.0155920870023	0.44137869867	0.543029203227
a	0.0573883749774	0.396610834557	0.546000807742
</S>	0.106804562489	0.205488669778	0.687706803871
