 	non	ti	dimentichiamo	mai	</S>
e	0.854244225	0.1450536985	0.00065153445	3.61220085e-05	1.44506715e-05
s	0.775359908333	0.223659766167	0.000858159316667	5.86817225e-05	6.35442101667e-05
e	0.554332276111	0.441014178722	0.00392518840556	0.000527839682833	0.000200598053389
a	0.23643088637	0.751808859574	0.00993562646852	0.00142386969428	0.000400776854463
l	0.0857651191233	0.886401199858	0.0255624231562	0.00148006179809	0.000791185818154
l	0.0432747590411	0.672261366619	0.205487594385	0.0333833209994	0.0455929868061
i	0.0255642772137	0.381719702206	0.485841931462	0.0460958008665	0.0607783102354
m	0.0351674632712	0.409817527402	0.498557477154	0.0232171518222	0.0332403870451
o	0.0381808027571	0.339652601801	0.581765325718	0.0161977322741	0.0242034997817
n	0.0138829174857	0.204248113267	0.653805141906	0.0267113314247	0.101352451694
ù	0.0125900030619	0.148012776756	0.417842647302	0.217331630475	0.204222907231
m	0.0114978861273	0.0563286715853	0.299131209101	0.363917733492	0.269124469077
e	0.00726254648243	0.0244929600618	0.209144893034	0.477271081164	0.281828519692
m	0.00687184116081	0.0141746925539	0.080288995678	0.504270340388	0.394394149897
à	0.0169228623869	0.0101811701013	0.0340922256593	0.542259780129	0.396543989966
i	0.0208660604623	0.00365547165543	0.0139014964098	0.676252660043	0.285324313322
</S>	0.0130756077311	0.00188089438522	0.0070965913399	0.656112330021	0.321834556661
