 	voglio	che	Maria	viene	domani	</S>
t	0.93566428	0.0623146945	0.001875165935	6.18349365e-05	4.92429265e-05	3.48965585e-05
è	0.901387046667	0.0968058748333	0.001706715035	5.70274421667e-05	2.40616425e-05	1.92937415e-05
l	0.717399108889	0.246761094944	0.0170895310117	0.000986626062056	0.0164705530852	0.00129306331217
o	0.38529445963	0.551615008315	0.0362089910039	0.00314745908735	0.0219619295227	0.00177211776739
e	0.15269952036	0.513516209438	0.316937549335	0.00822257652912	0.00756754526857	0.00105659955246
M	0.0525202194033	0.428746976479	0.419509143112	0.0938528371764	0.00284257186619	0.00252827865082
a	0.0205608810344	0.468574235493	0.350937387704	0.151269679059	0.0039580229654	0.00469979055027
r	0.00972560961147	0.311561321831	0.435679332568	0.20913433302	0.00588637165513	0.0280130346168
ì	0.00619150553716	0.159699639277	0.320920167523	0.456571151007	0.00927332271838	0.0473442502056
a	0.0309876073457	0.076865255759	0.181906152508	0.630389700336	0.0207365382395	0.0591147820685
n	0.0375709186862	0.0435244999797	0.109561424169	0.700344763445	0.0225142650798	0.0864841460228
a	0.0237254737997	0.0151283979199	0.0583361383897	0.625727421148	0.111640684027	0.165441884008
r	0.0191131203872	0.00562603853663	0.0235648244966	0.464381617049	0.147880362009	0.339434018003
t	0.00638246844973	0.00193819252368	0.0084671450322	0.32692303235	0.102387438003	0.553901729334
i	0.0947486833499	0.000975059022693	0.0030105181054	0.145728091217	0.269825246001	0.485712416445
à	0.12590228965	0.000675552144231	0.0010478803998	0.0511484661857	0.611153568667	0.210072247148
v	0.0436702706099	0.000251579280077	0.000382616587933	0.0171542496686	0.861232586222	0.077308710716
v	0.0160843023965	0.00164215838869	0.000493521980644	0.00694364314953	0.861157935407	0.113678453572
r	0.0073546207655	0.0022373928229	0.000639169383548	0.00461042524984	0.577140871802	0.408017524524
i	0.258907600222	0.0188589199676	0.00333996358452	0.0122280662833	0.244994344601	0.461671116841
</S>	0.513438575111	0.0363956964838	0.00616016454226	0.0204922401416	0.1338153933	0.289697946421
