 	non	aveva	dove	a	stare	</S>
e	0.879667995	0.116544135	0.0034410083075	0.00012878033785	0.000194136601305	2.394829437e-05
n	0.583427848333	0.411147335	0.00504029653583	0.00016123366595	0.000197189589435	2.610706079e-05
ì	0.228309720444	0.746956778333	0.0242013003453	0.000372700175317	0.000103230075478	5.62559255967e-05
c	0.0911982568147	0.868708156111	0.0385561651151	0.000769564238439	0.000481030421826	0.000286795915199
h	0.102988867938	0.861060262037	0.0328725650384	0.00140572907948	0.00102594140728	0.0006465940584
e	0.095342012846	0.556260303012	0.317586220013	0.0241577042265	0.00446006576909	0.0021936913528
p	0.0779689078153	0.214738380004	0.624596320004	0.0700095347422	0.0076606515897	0.00502625198427
u	0.0848109326051	0.0965774163347	0.472049476668	0.306721771581	0.0135460701966	0.0262943589948
s	0.041498261645	0.0371927472116	0.204045957889	0.572589107194	0.0617451323989	0.0829287963316
t	0.0144646989583	0.0138823838705	0.0757521876297	0.600620519065	0.138053304133	0.157226922111
a	0.0095933552861	0.0189739999902	0.0281276271766	0.496365499688	0.135001443378	0.311938094037
s	0.00758679279537	0.0202324755301	0.0102166586789	0.413924706563	0.194401743126	0.353637618012
ì	0.132026573965	0.00793455651003	0.00373855578497	0.281915382854	0.291305701042	0.283079212671
</S>	0.260123216983	0.00544494095501	0.00188271575049	0.152797592427	0.291696480521	0.288055036336
