 	viene	fabbricato	</S>
è	0.94481817	0.0541925225	0.0009893202
r	0.859171903333	0.0526563108333	0.0881717949667
k	0.764826751111	0.0865973852778	0.148575874989
e	0.55588796037	0.257207988426	0.186904044996
t	0.36596200679	0.361339882809	0.272698104999
e	0.257385250597	0.52650970427	0.216105055
f	0.0929414388657	0.60906507809	0.297993491667
a	0.0386706153886	0.624675159363	0.336654250556
b	0.0167498758962	0.632123153121	0.351127023519
b	0.0083143333254	0.540271884374	0.45141382784
r	0.00301809995847	0.655865128125	0.341116802613
i	0.0958998494762	0.524570050708	0.379530127538
k	0.127675687092	0.390441181569	0.481883135846
à	0.0492272752973	0.31604125519	0.634731448615
t	0.0221581988924	0.41994838973	0.557893399538
o	0.132403421091	0.455787646243	0.411808939846
</S>	0.253644845546	0.239202597622	0.507152569923
