 	non	mi	aspetti	non	vengo	</S>
m	0.49295777715	0.052421384	0.448703070305	0.005328772795	0.0004072715655	0.0001817397193
ì	0.495928790483	0.0484222081667	0.449274074168	0.00574951849833	0.000428034041833	0.000197368898767
m	0.502674064161	0.234065086222	0.217835512123	0.0422074640661	0.000485586077278	0.00273228031526
e	0.387601932054	0.338521608741	0.155678194041	0.110011286022	0.00405777485909	0.00412919517175
m	0.343074596711	0.159982840914	0.390686471347	0.099100598674	0.0050920360097	0.00206343852392
ì	0.115218390864	0.0617900719713	0.463180168449	0.343295092891	0.0148232790599	0.00169302730797
n	0.0397862455547	0.31138724099	0.198095409483	0.429514089964	0.0183392532866	0.00287777850266
i	0.0138972691482	0.38968333318	0.138016955161	0.435914255655	0.0175418826955	0.00494629866755
e	0.00484408471273	0.130023656957	0.185788075054	0.590842198552	0.0680383208985	0.0204636457225
n	0.00178532644224	0.0441024917657	0.390955945018	0.433475762851	0.0863854402995	0.0432950122408
è	0.0190604899854	0.0154956977219	0.357771367273	0.442712637617	0.0992342834332	0.0657255097469
r	0.0248222447695	0.00806046497397	0.292229268024	0.406130182539	0.108446991144	0.160310796582
k	0.0083016987415	0.00799678752466	0.271842951841	0.17015825118	0.239348453715	0.302351802194
o	0.0098908876245	0.00538186818489	0.092520983147	0.0797283073933	0.469207741238	0.343270194065
m	0.0107547799415	0.00345751570496	0.0459665550823	0.0572656111311	0.396621690413	0.485933854688
e	0.320514815047	0.00277580680165	0.0301897444341	0.0315139110437	0.176945902804	0.438059834896
</S>	0.635123257523	0.00163364350082	0.015198145327	0.0200560585219	0.100751495402	0.227237422448
