 	l'	ho	sentito	che	viene	</S>
o	0.5050222235	0.4442585527	0.047254392245	0.00280053237	0.0004812475265	0.0001830069637
n	0.1822213795	0.755619657567	0.058178637415	0.00326211262333	0.0004964753435	0.000221678994567
ì	0.0694653184167	0.755392072522	0.154582922472	0.0150249257078	0.00481034501583	0.000724349971522
k	0.0468482087222	0.670508757507	0.233976067491	0.0290433329026	0.00917228000528	0.0104513056905
u	0.0392892293174	0.477442622502	0.238316119164	0.121474246634	0.0714212060018	0.0520565485635
s	0.0310176818491	0.208475052501	0.332463843055	0.246367368878	0.0962189190006	0.0854571331878
a	0.029261768883	0.101378600834	0.272868692018	0.382031322959	0.128507713334	0.0859519177293
n	0.0156767338943	0.0421005168947	0.116645820006	0.550440887653	0.148597964445	0.126538060576
a	0.0148121296314	0.0150113130482	0.053818201602	0.444149212551	0.330403444815	0.141805686859
r	0.0112134602105	0.00600167150273	0.0191157648007	0.240319367517	0.408640691605	0.314709072286
t	0.0053930508035	0.00225443818124	0.00722455492423	0.148800905172	0.323283707202	0.513043370762
i	0.0184169673345	0.00153392588741	0.00260280884874	0.060751740724	0.479146545734	0.437548010254
</S>	0.0338829836672	0.00193741319371	0.00157019674937	0.033215994862	0.566977522867	0.362415865127
