 	ora	ho	finito	di	scrivere	</S>
à	0.99115355	0.00670711835	0.002024643212	9.018058315e-05	1.204786665e-05	1.24298795e-05
r	0.672936114667	0.26271854785	0.0135017527373	0.0410834528565	0.00258276601465	0.00717733258183
t	0.352607026222	0.559718649283	0.0187628819124	0.0558149657522	0.00346602367155	0.00963041886061
e	0.235431666574	0.450904333094	0.288626108304	0.0204644041507	0.00124881319052	0.0033246893902
s	0.0903542320247	0.471121817698	0.428246049435	0.00846589915023	0.00050356500684	0.00130844108007
p	0.0416055570082	0.606291485899	0.324126596478	0.0253954300501	0.000511991155613	0.00206891054002
ì	0.0147970349361	0.3874251663	0.561601382159	0.0332361271834	0.000667635041871	0.00227262641334
c	0.0050693960087	0.140396230767	0.817315894053	0.0254133872278	0.00141221766062	0.0103928877044
c	0.0052713494329	0.059270950589	0.648618531351	0.214138266743	0.0131548888202	0.0595460172348
e	0.0053881866043	0.026592111963	0.475104843784	0.387137702248	0.0269270199401	0.0788500924116
t	0.00189070082443	0.0114668943543	0.517126381261	0.387242147416	0.0231885346467	0.0590852808039
s	0.000687646011143	0.0061787676281	0.348561838754	0.481813225805	0.0364878768822	0.126270600268
a	0.00313758157705	0.00294678528603	0.123716932918	0.601832161935	0.0835376539607	0.184828866756
t	0.00390702374935	0.00182624648868	0.047093806306	0.630163750645	0.0936393289869	0.223369848919
s	0.00130998330502	0.00063390899956	0.0196874344253	0.511681880215	0.164891720662	0.30179508964
e	0.00260920716657	0.000333909703187	0.00667564574177	0.289624520072	0.264091760221	0.436664966547
g	0.00310244809219	0.000263608881062	0.00269755049059	0.163243500024	0.251280950074	0.579411952182
r	0.00109575278911	0.000118432182387	0.00127513698553	0.103342314341	0.219919053358	0.674249320727
à	0.00158574528475	7.4360642829e-05	0.00061142905051	0.0423360877803	0.202074124453	0.753318240242
t	0.00189151408825	6.75758486097e-05	0.00264742541684	0.0248084362601	0.172412874818	0.798172123414
s	0.00077778102375	3.23170063032e-05	0.00314650681928	0.01577461532	0.251006544939	0.729262207805
i	0.00421653307558	0.000605538204534	0.00138497965343	0.00951693600667	0.241602322313	0.742673702602
</S>	0.00803725503779	0.00119276940227	0.00119366767671	0.00995025200333	0.134122112156	0.845503951301
