 	dei	genitori	</S>
à	0.863334215	0.124643003	0.01202277635
t	0.733905181667	0.205966991	0.0601277907833
t	0.724949310556	0.192807483667	0.0822431835944
u	0.633638406852	0.286665597889	0.0796959911981
s	0.535917588951	0.351664209296	0.112418177066
g	0.71787502965	0.193610216432	0.0885147386887
e	0.655363293217	0.308846932144	0.0357897863629
n	0.335856044406	0.576644897381	0.087499065921
i	0.125046550415	0.76922476246	0.105728701974
t	0.0432085184183	0.861354397487	0.0954371073247
ò	0.0182669893728	0.860739432496	0.120993592442
r	0.0101655323576	0.909285477499	0.080549002814
u	0.0094226661192	0.840892025833	0.149685326271
</S>	0.0114766430596	0.741286262917	0.247237113136
